항목,M1_Full_sample,M2_Full_sample,M3_Full_sample,M4_Full_sample,M1_Human_coded,M2_Human_coded,M3_Human_coded,M4_Human_coded
Aggressive intensity (β₁),+12.6198***,+9.4838***,+9.0797***,+0.3813,+7.3491***,+4.2261***,+3.2246**,+0.1956
,(0.8947),(0.9849),(0.9636),(0.6192),(1.3643),(1.4332),(1.3860),(0.8035)
Aggressive intensity² (β₂),-11.2572***,-10.3382***,-9.4655***,-0.5488,-6.2526***,-3.1763*,-2.0352,-0.4262
,(2.0001),(1.9569),(1.9057),(1.0183),(1.7383),(1.7956),(1.7349),(0.9969)
전환점 (-β₁/2β₂),0.5605,0.4587,0.4796,0.3474,0.5877,0.6652,0.7922,0.2295
관측 범위,"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]"
H3 지지 여부,지지,지지,지지,미지지,지지,한계적 지지 (p<.10),미지지,미지지
N (기업-분기),"1,420","1,420","1,420","1,420",925,925,925,925
R²,0.1884,0.2923,0.3421,0.8588,0.0401,0.0988,0.1856,0.7977
Adjusted R²,0.1873,0.2893,0.3317,0.8458,0.0380,0.0929,0.1676,0.7684
통제변수,—,✓,✓,✓,—,✓,✓,✓
시간 더미,—,—,✓,✓,—,—,✓,✓
기업 더미,—,—,—,✓,—,—,—,✓
