company_name,quarter,post_count,aggressive_count,aggressive_intensity,aggressive_intensity_sq,mean_log1p_engagement
Enterprise Products Partners,2023-Q3,76,0,0.0,0.0,0.0
Walmart,2025-Q3,1,0,0.0,0.0,4.663439
UPS,2026-Q2,2,0,0.0,0.0,2.5679
United Airlines Holdings,2024-Q2,3,2,0.666666666667,0.444444444444,6.643923
Elevance Health,2022-Q3,7,0,0.0,0.0,1.846829
Uber Technologies,2024-Q1,5,1,0.2,0.04,5.948167
Travelers,2023-Q2,7,1,0.142857142857,0.020408163265,1.847643
Cigna Group,2021-Q4,2,0,0.0,0.0,1.445186
Merck,2021-Q1,3,0,0.0,0.0,5.700015
IBM,2026-Q2,8,0,0.0,0.0,4.108033
Centene,2023-Q1,2,0,0.0,0.0,1.903331
Liberty Mutual Insurance Group,2019-Q1,5,0,0.0,0.0,2.553092
StoneX Group,2026-Q1,10,0,0.0,0.0,0.803008
Pfizer,2022-Q3,5,0,0.0,0.0,4.382269
General Motors,2022-Q2,3,0,0.0,0.0,3.423854
TD Synnex,2022-Q2,4,0,0.0,0.0,1.226318
Morgan Stanley,2025-Q4,4,0,0.0,0.0,3.445399
Albertsons,2021-Q1,6,0,0.0,0.0,2.441136
Ford Motor,2025-Q2,5,0,0.0,0.0,5.249442
McKesson,2022-Q3,2,0,0.0,0.0,1.791759
JPMorgan Chase,2025-Q4,3,1,0.333333333333,0.111111111111,3.545301
Walt Disney,2026-Q2,8,0,0.0,0.0,7.191617
Home Depot,2016-Q2,6,0,0.0,0.0,0.183102
Amazon,2025-Q1,4,0,0.0,0.0,5.904365
Bank of America,2023-Q4,2,0,0.0,0.0,4.408797
Home Depot,2016-Q4,23,0,0.0,0.0,0.0
PepsiCo,2021-Q3,3,0,0.0,0.0,2.940381
Microsoft,2024-Q4,5,0,0.0,0.0,5.525367
FedEx,2024-Q1,1,0,0.0,0.0,4.025352
Tesla,2026-Q2,29,1,0.034482758621,0.001189060642,8.42177
Fannie Mae,2025-Q2,2,0,0.0,0.0,2.29756
Publix Super Markets,2025-Q2,1,0,0.0,0.0,4.394449
RTX,2020-Q2,3,0,0.0,0.0,3.545686
Progressive,2024-Q4,3,1,0.333333333333,0.111111111111,3.423577
Target,2022-Q3,4,2,0.5,0.25,7.597992
Oracle,2024-Q4,2,0,0.0,0.0,3.747771
Cisco Systems,2026-Q2,6,0,0.0,0.0,3.030031
Johnson & Johnson,2023-Q1,3,0,0.0,0.0,2.960612
Lockheed Martin,2025-Q4,10,0,0.0,0.0,6.500595
Delta Air Lines,2026-Q1,3,0,0.0,0.0,6.461931
Microsoft,2026-Q2,5,0,0.0,0.0,7.615852
AbbVie,2024-Q2,4,0,0.0,0.0,1.319529
TJX,2017-Q1,4,0,0.0,0.0,0.0
General Dynamics,2025-Q1,1,0,0.0,0.0,0.693147
AT&T,2026-Q1,5,1,0.2,0.04,5.775973
TJX,2016-Q4,10,0,0.0,0.0,0.490527
Target,2021-Q1,5,0,0.0,0.0,8.584664
Albertsons,2020-Q1,1,0,0.0,0.0,2.397895
Morgan Stanley,2026-Q1,3,0,0.0,0.0,3.023846
