metric,v2,v3
presence_n_labels,n/a,3574
presence_auc,n/a,0.777
presence_f1,n/a,0.659
type_n_labels,n/a,1410
type_macro_f1,n/a,0.3738
aggressive_precision,n/a,0.2986
aggressive_recall,n/a,0.3481
aggressive_f1,n/a,0.3214
affiliative_precision,n/a,0.6267
affiliative_recall,n/a,0.6239
affiliative_f1,n/a,0.6253
self_enhancing_precision,n/a,0.498
self_enhancing_recall,n/a,0.498
self_enhancing_f1,n/a,0.498
self_defeating_precision,n/a,0.0769
self_defeating_recall,n/a,0.0377
self_defeating_f1,n/a,0.0506
classified_non_humorous,45243,45929
classified_affiliative,12393,11941
classified_self_enhancing,7339,7129
classified_aggressive,2567,2504
classified_self_defeating,497,536
classified_total,68039,68039
