model,term,coefficient,std_error,t_statistic,p_value,stars,n,r_squared,adj_r_squared,df_residual
Human_coded_CD,intercept,5.320491,0.216535,24.571,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,aggressive,0.648415,0.119904,5.4078,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,affiliative,0.225925,0.068645,3.2912,0.001008,***,3574,0.746067,0.73868,3472
Human_coded_CD,self_enhancing,0.178752,0.078018,2.2911,0.022014,**,3574,0.746067,0.73868,3472
Human_coded_CD,self_defeating,0.732612,0.209639,3.4946,0.000481,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_2,-0.988736,0.306739,-3.2234,0.001279,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_3,-2.355956,0.639682,-3.683,0.000234,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_4,1.336208,0.352592,3.7897,0.000153,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_5,-2.950843,0.409212,-7.211,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_6,-3.460397,0.39428,-8.7765,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_7,-0.909726,0.36537,-2.4899,0.012825,**,3574,0.746067,0.73868,3472
Human_coded_CD,company_8,-4.004297,0.427301,-9.3711,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_9,1.400453,0.313302,4.47,8e-06,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_10,-1.277016,0.324377,-3.9368,8.4e-05,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_11,-3.969829,0.348695,-11.3848,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_12,-3.254736,0.427334,-7.6164,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_13,0.549812,0.309544,1.7762,0.075788,*,3574,0.746067,0.73868,3472
Human_coded_CD,company_14,0.734089,0.449128,1.6345,0.102249,,3574,0.746067,0.73868,3472
Human_coded_CD,company_15,-3.200012,0.348901,-9.1717,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_16,-3.504665,0.387591,-9.0422,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_17,-1.710852,0.302891,-5.6484,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_18,-1.581646,0.341548,-4.6308,4e-06,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_19,0.305444,0.319875,0.9549,0.339702,,3574,0.746067,0.73868,3472
Human_coded_CD,company_20,-0.53191,0.375432,-1.4168,0.156633,,3574,0.746067,0.73868,3472
Human_coded_CD,company_21,-2.547243,0.449232,-5.6702,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_22,-4.814105,0.261397,-18.4168,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_23,-3.172638,0.462866,-6.8543,0.0,***,3574,0.746067,0.73868,3472
