model,variable,coefficient,classical_ols_se,t_stat,p_value_two_sided,stars,n_obs,r_squared,r_squared_adj,df_resid,n_firms,reference_category,controls_included,fixed_effects,h3_variables_included,classifier_limitation
M1_simple_ols,intercept,3.156060,0.009948,317.2710,0.000000,***,68039,0.070555,0.070500,68034,99,non_humorous,false,none,false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M1_simple_ols,aggressive,1.681555,0.049316,34.0973,0.000000,***,68039,0.070555,0.070500,68034,99,non_humorous,false,none,false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M1_simple_ols,affiliative,0.838854,0.020256,41.4127,0.000000,***,68039,0.070555,0.070500,68034,99,non_humorous,false,none,false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M1_simple_ols,self_enhancing,1.319060,0.023185,56.8938,0.000000,***,68039,0.070555,0.070500,68034,99,non_humorous,false,none,false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M1_simple_ols,self_defeating,2.041035,0.095032,21.4773,0.000000,***,68039,0.070555,0.070500,68034,99,non_humorous,false,none,false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M2_firm_fe_fwl,aggressive,0.224971,0.032888,6.8405,0.000000,***,68039,0.004833,0.003339,67936,99,non_humorous,false,firm (FWL within-demeaning),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M2_firm_fe_fwl,affiliative,0.168680,0.014061,11.9959,0.000000,***,68039,0.004833,0.003339,67936,99,non_humorous,false,firm (FWL within-demeaning),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M2_firm_fe_fwl,self_enhancing,0.259167,0.016162,16.0358,0.000000,***,68039,0.004833,0.003339,67936,99,non_humorous,false,firm (FWL within-demeaning),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M2_firm_fe_fwl,self_defeating,0.320970,0.061841,5.1902,0.000000,***,68039,0.004833,0.003339,67936,99,non_humorous,false,firm (FWL within-demeaning),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M3_time_fe_year_month,intercept,1.401650,0.421149,3.3282,0.000875,***,68039,0.147244,0.146893,68010,99,non_humorous,false,year_dummies(13 ref=2015) + month_dummies(11 ref=01),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M3_time_fe_year_month,aggressive,1.724949,0.047421,36.3749,0.000000,***,68039,0.147244,0.146893,68010,99,non_humorous,false,year_dummies(13 ref=2015) + month_dummies(11 ref=01),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M3_time_fe_year_month,affiliative,0.846792,0.019482,43.4662,0.000000,***,68039,0.147244,0.146893,68010,99,non_humorous,false,year_dummies(13 ref=2015) + month_dummies(11 ref=01),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M3_time_fe_year_month,self_enhancing,1.284726,0.022331,57.5298,0.000000,***,68039,0.147244,0.146893,68010,99,non_humorous,false,year_dummies(13 ref=2015) + month_dummies(11 ref=01),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M3_time_fe_year_month,self_defeating,2.232081,0.091395,24.4224,0.000000,***,68039,0.147244,0.146893,68010,99,non_humorous,false,year_dummies(13 ref=2015) + month_dummies(11 ref=01),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M4_firm_year_month_fe,intercept,1.263116,0.299849,4.2125,0.000025,***,68039,0.648633,0.647981,67912,99,non_humorous,false,firm_dummies(98 ref=AT&T) + year_dummies(13) + month_dummies(11),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M4_firm_year_month_fe,aggressive,0.205190,0.031853,6.4418,0.000000,***,68039,0.648633,0.647981,67912,99,non_humorous,false,firm_dummies(98 ref=AT&T) + year_dummies(13) + month_dummies(11),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M4_firm_year_month_fe,affiliative,0.155609,0.013624,11.4214,0.000000,***,68039,0.648633,0.647981,67912,99,non_humorous,false,firm_dummies(98 ref=AT&T) + year_dummies(13) + month_dummies(11),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M4_firm_year_month_fe,self_enhancing,0.204476,0.015696,13.0277,0.000000,***,68039,0.648633,0.647981,67912,99,non_humorous,false,firm_dummies(98 ref=AT&T) + year_dummies(13) + month_dummies(11),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
M4_firm_year_month_fe,self_defeating,0.300905,0.059897,5.0237,0.000001,***,68039,0.648633,0.647981,67912,99,non_humorous,false,firm_dummies(98 ref=AT&T) + year_dummies(13) + month_dummies(11),false,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); predictions only — NOT_A_CANDIDATE level evidence; leakage risk: classifier trained on same corpus as regression sample"
