analysis,combo,included_dummies,n_groups,k_time_effective,rank_deficient,absorbed
H1H2,year,year,1,13,False,none
H1H2,month,month,1,11,False,none
H1H2,week,week,1,52,False,none
H1H2,date,date,1,3596,False,none
H1H2,hour,hour,1,23,False,none
H1H2,year+month,year+month,2,24,False,none
H1H2,year+week,year+week,2,65,False,none
H1H2,year+date,year+date,2,3596,True,year
H1H2,year+hour,year+hour,2,36,False,none
H1H2,month+week,month+week,2,63,False,none
H1H2,month+date,month+date,2,3596,True,month
H1H2,month+hour,month+hour,2,34,False,none
H1H2,week+date,week+date,2,3596,True,week
H1H2,week+hour,week+hour,2,75,False,none
H1H2,date+hour,date+hour,2,3619,False,none
H1H2,year+month+week,year+month+week,3,76,False,none
H1H2,year+month+date,year+month+date,3,3596,True,year+month
H1H2,year+month+hour,year+month+hour,3,47,False,none
H1H2,year+week+date,year+week+date,3,3596,True,year+week
H1H2,year+week+hour,year+week+hour,3,88,False,none
H1H2,year+date+hour,year+date+hour,3,3619,True,year
H1H2,month+week+date,month+week+date,3,3596,True,month+week
H1H2,month+week+hour,month+week+hour,3,86,False,none
H1H2,month+date+hour,month+date+hour,3,3619,True,month
H1H2,week+date+hour,week+date+hour,3,3619,True,week
H1H2,year+month+week+date,year+month+week+date,4,3596,True,year+month+week
H1H2,year+month+week+hour,year+month+week+hour,4,99,False,none
H1H2,year+month+date+hour,year+month+date+hour,4,3619,True,year+month
H1H2,year+week+date+hour,year+week+date+hour,4,3619,True,year+week
H1H2,month+week+date+hour,month+week+date+hour,4,3619,True,month+week
H1H2,year+month+week+date+hour,year+month+week+date+hour,5,3619,True,year+month+week
H3,year,year,1,13,False,none
H3,qoy,qoy,1,3,False,none
H3,year+qoy,year+qoy,2,16,False,none
H3,year_quarter,year_quarter,1,46,False,none
