sample,combo,included_dummies,n,n_time_cols_before_drop,n_estimated_params,k_time_effective,df_resid,rank_deficient,absorbed_columns,n_absorbed,successfully_estimated,skip_reason,model_type,n_firm_quarters,beta1,beta1_se,beta1_t,beta1_p,beta1_stars,beta2,beta2_se,beta2_t,beta2_p,beta2_stars,turning_point,obs_intensity_min,obs_intensity_max,tp_in_obs_range,H3_supported,R2,adjR2
Full_sample,year,year,68039,13,18,13,68021,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,month,month,68039,11,16,11,68023,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,week,week,68039,52,57,52,67982,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,date,date,68039,3596,3601,3596,64438,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,hour,hour,68039,23,28,23,68011,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+month,year+month,68039,24,29,24,68010,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+week,year+week,68039,65,70,65,67969,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+date,year+date,68039,3609,3601,3596,64438,True,year,13,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+hour,year+hour,68039,36,41,36,67998,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,month+week,month+week,68039,63,68,63,67971,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,month+date,month+date,68039,3607,3601,3596,64438,True,month,11,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,month+hour,month+hour,68039,34,39,34,68000,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,week+date,week+date,68039,3648,3601,3596,64438,True,week,52,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,week+hour,week+hour,68039,75,80,75,67959,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,date+hour,date+hour,68039,3619,3624,3619,64415,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+month+week,year+month+week,68039,76,81,76,67958,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+month+date,year+month+date,68039,3620,3601,3596,64438,True,year+month,48,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+month+hour,year+month+hour,68039,47,52,47,67987,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+week+date,year+week+date,68039,3661,3601,3596,64438,True,year+week,130,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+week+hour,year+week+hour,68039,88,93,88,67946,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+date+hour,year+date+hour,68039,3632,3624,3619,64415,True,year,13,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,month+week+date,month+week+date,68039,3659,3601,3596,64438,True,month+week,126,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,month+week+hour,month+week+hour,68039,86,91,86,67948,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,month+date+hour,month+date+hour,68039,3630,3624,3619,64415,True,month,11,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,week+date+hour,week+date+hour,68039,3671,3624,3619,64415,True,week,52,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+month+week+date,year+month+week+date,68039,3672,3601,3596,64438,True,year+month+week,228,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+month+week+hour,year+month+week+hour,68039,99,104,99,67935,False,none,0,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+month+date+hour,year+month+date+hour,68039,3643,3624,3619,64415,True,year+month,48,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+week+date+hour,year+week+date+hour,68039,3684,3624,3619,64415,True,year+week,130,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,month+week+date+hour,month+week+date+hour,68039,3682,3624,3619,64415,True,month+week,126,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Full_sample,year+month+week+date+hour,year+month+week+date+hour,68039,3695,3624,3619,64415,True,year+month+week,228,yes,,H1H2_Full,,,,,,,,,,,,,,,,,,
Human_coded,year,year,3574,11,16,11,3558,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,month,month,3574,11,16,11,3558,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,week,week,3574,52,57,52,3517,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,date,date,3574,1680,1685,1680,1889,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,hour,hour,3574,23,28,23,3546,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+month,year+month,3574,22,27,22,3547,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+week,year+week,3574,63,68,63,3506,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+date,year+date,3574,1691,1685,1680,1889,True,year,11,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+hour,year+hour,3574,34,39,34,3535,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,month+week,month+week,3574,63,68,63,3506,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,month+date,month+date,3574,1691,1685,1680,1889,True,month,11,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,month+hour,month+hour,3574,34,39,34,3535,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,week+date,week+date,3574,1732,1685,1680,1889,True,week,52,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,week+hour,week+hour,3574,75,80,75,3494,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,date+hour,date+hour,3574,1703,1708,1703,1866,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+month+week,year+month+week,3574,74,79,74,3495,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+month+date,year+month+date,3574,1702,1685,1680,1889,True,year+month,44,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+month+hour,year+month+hour,3574,45,50,45,3524,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+week+date,year+week+date,3574,1743,1685,1680,1889,True,year+week,126,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+week+hour,year+week+hour,3574,86,91,86,3483,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+date+hour,year+date+hour,3574,1714,1708,1703,1866,True,year,11,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,month+week+date,month+week+date,3574,1743,1685,1680,1889,True,month+week,126,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,month+week+hour,month+week+hour,3574,86,91,86,3483,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,month+date+hour,month+date+hour,3574,1714,1708,1703,1866,True,month,11,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,week+date+hour,week+date+hour,3574,1755,1708,1703,1866,True,week,52,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+month+week+date,year+month+week+date,3574,1754,1685,1680,1889,True,year+month+week,222,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+month+week+hour,year+month+week+hour,3574,97,102,97,3472,False,none,0,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+month+date+hour,year+month+date+hour,3574,1725,1708,1703,1866,True,year+month,44,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+week+date+hour,year+week+date+hour,3574,1766,1708,1703,1866,True,year+week,126,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,month+week+date+hour,month+week+date+hour,3574,1766,1708,1703,1866,True,month+week,126,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Human_coded,year+month+week+date+hour,year+month+week+date+hour,3574,1777,1708,1703,1866,True,year+month+week,222,yes,,H1H2_HC,,,,,,,,,,,,,,,,,,
Full_sample,year,,,,,13,1404,False,,,yes,,H3_Full,1420,13.176964,0.882103,14.9381,0.0,***,-11.484962,1.956888,-5.869,0.0,***,0.573662,0.0,1.0,True,True,0.238892,0.230761
Full_sample,qoy,,,,,3,1414,False,,,yes,,H3_Full,1420,12.622564,0.894424,14.1125,0.0,***,-11.189166,2.000597,-5.5929,0.0,***,0.564053,0.0,1.0,True,True,0.190686,0.187824
Full_sample,year+qoy,,,,,16,1401,False,,,yes,,H3_Full,1420,13.169,0.882336,14.9251,0.0,***,-11.421643,1.958391,-5.8322,0.0,***,0.576493,0.0,1.0,True,True,0.240173,0.230411
Full_sample,year_quarter,,,,,46,1371,False,,,yes,,H3_Full,1420,13.177314,0.888297,14.8343,0.0,***,-11.41725,1.976893,-5.7753,0.0,***,0.577079,0.0,1.0,True,True,0.254671,0.228576
Human_coded,year,,,,,11,29,False,,,yes,,H3_HC,43,8.23854,14.202106,0.5801,0.566332,,17.511806,89.471629,0.1957,0.846191,,-0.235228,0.0,0.151163,False,False,0.845016,0.77554
Human_coded,qoy,,,,,3,37,False,,,yes,,H3_HC,43,54.946946,13.833601,3.972,0.000317,***,-211.18872,106.29139,-1.9869,0.054378,*,0.13009,0.0,0.151163,True,True,0.501933,0.434627
Human_coded,year+qoy,,,,,14,26,False,,,yes,,H3_HC,43,7.607389,14.747512,0.5158,0.610324,,21.218273,93.599416,0.2267,0.822436,,-0.179265,0.0,0.151163,False,False,0.852226,0.761287
Human_coded,year_quarter,,,,,42,n/a,False,,,no,,H3_HC,43,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a
