measurement_basis,hypothesis,model_id,fe_count,included_fe,dependent_variable,key_variable,beta1_intensity,beta2_intensity_squared,beta1_p_value,beta2_p_value,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,r_squared,adj_r_squared,df_model,df_resid,rank,turning_point,turning_point_in_observed_range,intensity_min,intensity_max,status,interpretation_level,note,n_fe_cells,inverted_u_check,beta2_stars
batch1_human_coded,H3,year,1,year,firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year,1,year,firm_period_mean_log1p_engagement,predicted_aggressive_intensity,1.484476,-0.111781,9.4e-05,0.845393,1.484476,0.379632,3.9103,9.4e-05,***,3532,0.073991,0.070569,14,3518,2,6.6401,False,0.0,1.0,success,preliminary_diagnostic,classifier NOT_A_CANDIDATE; predicted intensity leakage possible,12,b1>0_b2<0,ns
batch1_human_coded,H3,month,1,month,firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,month,1,month,firm_period_mean_log1p_engagement,predicted_aggressive_intensity,1.653068,-0.274136,2.2e-05,0.643773,1.653068,0.388949,4.2501,2.2e-05,***,3532,0.096903,0.062108,132,3400,2,3.0151,False,0.0,1.0,success,preliminary_diagnostic,classifier NOT_A_CANDIDATE; predicted intensity leakage possible,130,b1>0_b2<0,ns
batch1_human_coded,H3,week,1,week,firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,week,1,week,firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,day,1,day,firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,day,1,day,firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,hour,1,hour,firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,hour,1,hour,firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_month,2,"year,month",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_month,2,"year,month",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,1.653068,-0.274136,2.2e-05,0.643773,1.653068,0.388949,4.2501,2.2e-05,***,3532,0.096903,0.062108,132,3400,2,3.0151,False,0.0,1.0,success,preliminary_diagnostic,classifier NOT_A_CANDIDATE; predicted intensity leakage possible,130,b1>0_b2<0,ns
batch1_human_coded,H3,year_week,2,"year,week",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_week,2,"year,week",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_day,2,"year,day",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_day,2,"year,day",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_hour,2,"year,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_hour,2,"year,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,month_week,2,"month,week",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,month_week,2,"month,week",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,month_day,2,"month,day",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,month_day,2,"month,day",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,month_hour,2,"month,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,month_hour,2,"month,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,week_day,2,"week,day",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,week_day,2,"week,day",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,week_hour,2,"week,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,week_hour,2,"week,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,day_hour,2,"day,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,day_hour,2,"day,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_month_week,3,"year,month,week",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_month_week,3,"year,month,week",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_month_day,3,"year,month,day",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_month_day,3,"year,month,day",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_month_hour,3,"year,month,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_month_hour,3,"year,month,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_week_day,3,"year,week,day",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_week_day,3,"year,week,day",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_week_hour,3,"year,week,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_week_hour,3,"year,week,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_day_hour,3,"year,day,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_day_hour,3,"year,day,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,month_week_day,3,"month,week,day",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,month_week_day,3,"month,week,day",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,month_week_hour,3,"month,week,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,month_week_hour,3,"month,week,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,month_day_hour,3,"month,day,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
