후보_ID,표본_층화,Fortune_순위,회사명,X_계정,트윗_ID,트윗_URL,작성일시,본문,유머_존재여부,유머_유형,배정_코더,검토_상태,총_인게이지먼트,로그_총_인게이지먼트,웬디스_유머_존재여부,웬디스_유머_점수,웬디스_유머_유형,웬디스_유형_점수,풀체인_유머_존재여부,풀체인_유머_유형,분류기_불일치,불확실성_점수
B00350,firm_balanced_sample_b2,68,Merck,@merck,1.84925E+18,https://x.com/merck/status/1849245438693527755,Thu Oct 24 00:24:04 +0000 2024,"Today, the CDC’s Advisory Committee on Immunization Practices (#ACIP) voted to update the adult pneumococcal vaccination recommendations, expanding access to those at risk of #pneumococcal disease. Learn more: https://t.co/LWreJD6E1a https://t.co/M8aun8KF1S",0,,coder2,pending,27,3.33220451,0,0.300482,non_humorous,0,ambiguous,ambiguous_or_review,0,0.600964
B00371,random_fortune_sample_b2,91,General Dynamics,@generaldynamics,1.51858E+18,https://x.com/generaldynamics/status/1518579483523039236,Mon Apr 25 13:15:37 +0000 2022,"We're thrilled to partner with @LittleBitSTL to cultivate the future #GEOINT innovators of tomorrow! Learn more about how we're working together to build the #artofthepossible in St. Louis! https://t.co/LNBVhdcALw 

#geoint2022 https://t.co/21Pir4bl06",1,2,coder2,pending,12,2.564949357,0,0.397688,non_humorous,0,ambiguous,ambiguous_or_review,0,0.795376
B00869,classifier_disagreement_b2,90,Ingram Micro Holding,@IngramMicroInc,1.84112E+18,https://x.com/IngramMicroInc/status/1841115906589552680,Tue Oct 01 14:00:13 +0000 2024,"Today, V7 – Ingram Micro's Private Label – celebrates 25 years of innovation, growth, and success! For a quarter of a century, V7 has been supporting our customers and vendors, delivering quality and innovation as part of the Ingram Micro family. Happy anniversary, V7! https://t.co/hpzkrKGMJa",0,,coder2,pending,0,0,1,0.513686,affiliative,0.424526,non_humor,not_applicable,1,0.972628
B01145,firm_balanced_sample_b2,94,TIAA,@tiaa,1.58018E+18,https://x.com/tiaa/status/1580181640705253376,Wed Oct 12 13:00:36 +0000 2022,"Setbacks happen, but they don't mean we shouldn’t play. Women have 30% less income in retirement. And we’re going to change that. We’re going to #retireinequality. https://t.co/RN3k7VRdq4 @MalPugh https://t.co/8iyfqDQdGz",1,2,coder2,pending,5,1.791759469,0,0.493294,non_humorous,0,ambiguous,ambiguous_or_review,0,0.986588
B00351,random_fortune_sample_b2,90,Ingram Micro Holding,@IngramMicroInc,1.66615E+18,https://x.com/IngramMicroInc/status/1666147203851616273,Tue Jun 06 18:17:03 +0000 2023,Proud to be recognized as best Distributor of the year by @SophosIberia. Congratulations team! #ingrammicro #ingrammicrospain https://t.co/aetRg9i006,1,2,coder2,pending,4,1.609437912,1,0.508522,affiliative,0.409502,ambiguous,ambiguous_or_review,0,0.982956
B00269,high_engagement_posts_b2,42,Target,@target,1.36504E+18,https://x.com/target/status/1365044257401294851,Thu Feb 25 21:01:26 +0000 2021,"[Announcement]
From @HelloKitty, My Melody, to Keroppi, get ready to discover new residents, styles &amp; items inspired by adorable @Sanrio friends! The #AnimalCrossing Sanrio Collaboration Pack comes to the US on 3/26, exclusively at @Target! https://t.co/7584E2OL4H",1,2,coder2,pending,84888,11.3490998,0,0.413477,non_humorous,0,humor,affiliative,1,0.826954
B00846,high_engagement_posts_b2,21,Chevron,@chevron,1.58286E+18,https://x.com/chevron/status/1582864946353741825,Wed Oct 19 22:43:06 +0000 2022,"For some Chevron employees, glancing at their phones could soon reveal more than the time of day; it could also alert them when they are at risk of experiencing heat stress. https://t.co/j9KvH2tO44",0,,coder2,pending,2267,7.726653665,1,0.600468,aggressive,0.398909,ambiguous,ambiguous_or_review,0,0.799064
B00401,random_fortune_sample_b2,15,Cardinal Health,@cardinalhealth,1.81181E+18,https://x.com/cardinalhealth/status/1811807765192413293,Fri Jul 12 17:00:07 +0000 2024,"Our Chief Information Officer Michelle Greene shared #leadership words of wisdom this week at the #DataConnectConf in Columbus, Ohio. @DataConnectConf https://t.co/lkwXkAxM87",0,,coder2,pending,11,2.48490665,0,0.406838,non_humorous,0,ambiguous,ambiguous_or_review,0,0.813676
B00516,wendys_transfer_aggressive_b2,100,Massachusetts Mutual Life,@massmutual,1.22625E+18,https://x.com/massmutual/status/1226252871265640453,Sat Feb 08 21:14:01 +0000 2020,"Here is a preview of what’s ahead this year, as shared by three top executives in the financial-services industry, including MassMutual’s John Vaccaro. https://t.co/jQCw6f1IIK",0,,coder2,pending,3,1.386294361,1,0.556019,aggressive,0.351978,ambiguous,ambiguous_or_review,0,0.887962
B00773,firm_balanced_sample_b2,39,Morgan Stanley,@morganstanley,1.61074E+18,https://x.com/morganstanley/status/1610742866724126722,Wed Jan 04 21:00:00 +0000 2023,"Is the 60/40 portfolio dead? Our strategists don’t think so, but they do expect a bumpier road ahead for the popular strategy. Learn why here: https://t.co/44GHjqYscE",0,,coder2,pending,11,2.48490665,1,0.559395,aggressive,0.307675,non_humor,not_applicable,1,0.88121
B00178,random_fortune_sample_b2,25,Home Depot,@homedepot,1.81687E+18,https://x.com/homedepot/status/1816866082524725335,Fri Jul 26 16:00:04 +0000 2024,Friday energy. https://t.co/yX1ghxzZS1,1,2,coder2,pending,198,5.293304825,0,0.409002,non_humorous,0,non_humor,not_applicable,0,0.818004
B00905,classifier_disagreement_b2,44,Walt Disney,@Disney,2.05787E+18,https://x.com/Disney/status/2057871138592587955,Fri May 22 17:08:07 +0000 2026,"RT @DisneyParks: A meaningful moment on Main Street, U.S.A. 🇺🇸 To celebrate the men and women of the @USNavy, @USMarineCorps, and @USCG, Di…",0,,coder2,pending,122,4.812184355,0,0.396528,non_humorous,0,humor,affiliative,1,0.793056
B00161,type_uncertain_b2,59,MetLife,@metlife,1.5983E+18,https://x.com/metlife/status/1598302154082721792,Thu Dec 01 13:05:03 +0000 2022,It's DAY 2 of the Triangle Tech X Conference and we are so excited to have @serenawilliams joining us today. Follow along as we live tweet for insights and exclusive moments. Check out today's agenda: https://t.co/910OYrUfa6 #TTX2022,1,2,coder2,pending,7,2.079441542,1,0.553457,affiliative,0.476753,ambiguous,ambiguous_or_review,0,0.893086
B01215,classifier_disagreement_b2,77,AbbVie,@abbvie,1.73199E+18,https://x.com/abbvie/status/1731994843520344253,Tue Dec 05 11:12:04 +0000 2023,"[Video description: Rami Burstein, Professor of Anesthesia and Neuroscience, Harvard Medical School, shares the importance of open communication between migraine patients and their doctors.]",0,,coder2,pending,0,0,1,0.652506,aggressive,0.378597,non_humor,not_applicable,1,0.694988
