firm_id,fortune_year,fortune_rank,firm_name,fortune_company_url,fortune_ranking_source_url,country,industry,sector,revenues_millions,employees,ticker,exchange,official_website,x_handle,x_profile_url,x_user_id,x_handle_source_url,x_handle_source_type,x_handle_confidence,x_handle_verified_status,include_flag,exclusion_reason,notes,collected_at
f2025_001_walmart,2025,1,Walmart,,https://fortune.com/ranking/fortune500/,U.S.,,,680985,2100000,,,,,,,,,not_found,unknown,0,needs_manual_review,"Rank, revenue, and employees are visible in the indexed official Fortune ranking page. Company detail URL and official X account require manual verification because direct automated Fortune access returned CloudFront 403.",2026-06-01T00:00:00Z
f2025_002_amazon,2025,2,Amazon,,https://fortune.com/ranking/fortune500/,U.S.,,,637959,1556000,,,,,,,,,not_found,unknown,0,needs_manual_review,"Rank, revenue, and employees are visible in the indexed official Fortune ranking page. Company detail URL and official X account require manual verification because direct automated Fortune access returned CloudFront 403.",2026-06-01T00:00:00Z
f2025_003_unitedhealth_group,2025,3,UnitedHealth Group,,https://fortune.com/ranking/fortune500/,U.S.,,,400278,400000,,,,,,,,,not_found,unknown,0,needs_manual_review,"Rank, revenue, and employees are visible in the indexed official Fortune ranking page. Company detail URL and official X account require manual verification because direct automated Fortune access returned CloudFront 403.",2026-06-01T00:00:00Z
f2025_004_apple,2025,4,Apple,,https://fortune.com/ranking/fortune500/,U.S.,,,391035,164000,,,,,,,,,not_found,unknown,0,needs_manual_review,"Rank, revenue, and employees are visible in the indexed official Fortune ranking page. Company detail URL and official X account require manual verification because direct automated Fortune access returned CloudFront 403.",2026-06-01T00:00:00Z
f2025_005_cvs_health,2025,5,CVS Health,,https://fortune.com/ranking/fortune500/,U.S.,,,372809,259500,,,,,,,,,not_found,unknown,0,needs_manual_review,"Rank, revenue, and employees are visible in the indexed official Fortune ranking page. Company detail URL and official X account require manual verification because direct automated Fortune access returned CloudFront 403.",2026-06-01T00:00:00Z
f2025_006_berkshire_hathaway,2025,6,Berkshire Hathaway,,https://fortune.com/ranking/fortune500/,U.S.,,,371433,392400,,,,,,,,,not_found,unknown,0,needs_manual_review,"Rank, revenue, and employees are visible in the indexed official Fortune ranking page. Company detail URL and official X account require manual verification because direct automated Fortune access returned CloudFront 403.",2026-06-01T00:00:00Z
f2025_007_alphabet,2025,7,Alphabet,,https://fortune.com/ranking/fortune500/,U.S.,,,350018,183323,,,,,,,,,not_found,unknown,0,needs_manual_review,"Rank, revenue, and employees are visible in the indexed official Fortune ranking page. Parent company and product-brand X accounts must be explicitly distinguished during manual review.",2026-06-01T00:00:00Z
f2025_008_exxon_mobil,2025,8,Exxon Mobil,,https://fortune.com/ranking/fortune500/,U.S.,,,349585,60900,,,,,,,,,not_found,unknown,0,needs_manual_review,"Rank, revenue, and employees are visible in the indexed official Fortune ranking page. Company detail URL and official X account require manual verification because direct automated Fortune access returned CloudFront 403.",2026-06-01T00:00:00Z
f2025_009_mckesson,2025,9,McKesson,,https://fortune.com/ranking/fortune500/,U.S.,,,308951,48000,,,,,,,,,not_found,unknown,0,needs_manual_review,"Rank, revenue, and employees are visible in the indexed official Fortune ranking page. Company detail URL and official X account require manual verification because direct automated Fortune access returned CloudFront 403.",2026-06-01T00:00:00Z
f2025_010_cencora,2025,10,Cencora,,https://fortune.com/ranking/fortune500/,U.S.,,,,,,,,,,,,,not_found,unknown,0,needs_manual_review,Rank and firm name are visible in the indexed official Fortune ranking page. Other fields require manual verification because direct automated Fortune access returned CloudFront 403.,2026-06-01T00:00:00Z
