fortune_rank,company_name,normalized_company_name,official_x_account_status,official_x_handle,official_x_url,evidence_source_url,evidence_source_type,evidence_strength,confidence,scrape_eligible,collection_status,collection_priority,collection_scope,collection_start_policy,collection_end_policy,max_posts_policy,notes
1,Amazon,amazon,brand_official,@amazonnews,https://x.com/amazonnews,https://ir.aboutamazon.com/overview/default.aspx,investor_relations,level_3,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Amazon investor relations footer links to Twitter/X account @amazonnews. Accepted as official Amazon news/media account rather than a main corporate @amazon account; direct candidate @amazon was not used as official evidence.
2,Walmart,walmart,official,@WalmartNews,https://x.com/WalmartNews,https://corporate.walmart.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Walmart corporate footer links directly to X account @WalmartNews.
3,UnitedHealth Group,unitedhealth_group,official,@UnitedHealthGrp,https://x.com/UnitedHealthGrp,https://www.unitedhealthgroup.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: UnitedHealth Group corporate footer links directly to Twitter/X account @UnitedHealthGrp.
6,CVS Health,cvs_health,official,@CVSHealth,https://x.com/CVSHealth,https://www.cvshealth.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: CVS Health corporate footer links directly to Twitter/X account @CVSHealth.
8,McKesson,mckesson,official,@McKesson,https://x.com/McKesson,https://www.mckesson.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: McKesson corporate footer links directly to X account @McKesson.
10,Cencora,cencora,official,@CencoraGlobal,https://x.com/CencoraGlobal,https://www.cencora.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Cencora corporate footer links directly to Twitter/X account @CencoraGlobal.
11,Microsoft,microsoft,official,@microsoft,https://x.com/microsoft,https://www.microsoft.com/en-us/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Microsoft homepage footer Follow Microsoft section links directly to X account @microsoft.
16,Nvidia,nvidia,official,@nvidia,https://x.com/nvidia,https://www.nvidia.com/en-us/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: NVIDIA homepage footer Follow NVIDIA section links directly to Twitter/X account @nvidia.
18,Elevance Health,elevance_health,official,@elevancehealth,https://x.com/elevancehealth,https://www.elevancehealth.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Elevance Health corporate footer Follow us on X link points to Twitter/X account @elevancehealth.
19,Centene,centene,official,@Centene,https://x.com/Centene,https://www.centene.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Centene corporate footer social links include a direct X link to @Centene.
