fortune_year,fortune_rank,firm_name,entity_type,fortune_company_url,official_x_account_status,direct_x_profile_exists,direct_x_handle_candidate,direct_x_profile_url,direct_check_status,x_access_method,page_title,current_url,needs_manual_review,review_decision,reviewed_x_handle,reviewed_x_profile_url,source_file,notes,generated_at
2025,1,Amazon,Organization,https://fortune.com/company/amazon-com/,unknown,yes,@amazon,https://x.com/amazon,profile_accessible,authenticated_playwright,Amazon (@amazon) / X,https://x.com/amazon,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,2,Walmart,Organization,https://fortune.com/company/walmart/,unknown,yes,@walmart,https://x.com/walmart,profile_accessible,authenticated_playwright,Walmart (@Walmart) / X,https://x.com/walmart,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,3,UnitedHealth Group,Organization,https://fortune.com/company/unitedhealth-group/,unknown,no,@unitedhealthgroup,https://x.com/unitedhealthgroup,not_found,authenticated_playwright,Profile / X,https://x.com/unitedhealthgroup,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X URL rendered a not-found/unavailable account message.,2026-06-10T10:03:54+00:00
2025,4,Apple,Organization,https://fortune.com/company/apple/,unknown,yes,@apple,https://x.com/apple,profile_accessible,authenticated_playwright,Apple (@Apple) / X,https://x.com/apple,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,5,Alphabet,Organization,https://fortune.com/company/alphabet/,unknown,yes,@alphabet,https://x.com/alphabet,profile_accessible,authenticated_playwright,Chris Andrikanich (@alphabet) / X,https://x.com/alphabet,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,6,CVS Health,Organization,https://fortune.com/company/cvs-health/,unknown,yes,@cvshealth,https://x.com/cvshealth,profile_accessible,authenticated_playwright,CVS Health (@CVSHealth) / X,https://x.com/cvshealth,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,7,Berkshire Hathaway,Organization,https://fortune.com/company/berkshire-hathaway/,unknown,no,@berkshirehathaway,https://x.com/berkshirehathaway,not_found,authenticated_playwright,Profile / X,https://x.com/berkshirehathaway,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X URL rendered a not-found/unavailable account message.,2026-06-10T10:03:54+00:00
2025,8,McKesson,Organization,https://fortune.com/company/mckesson/,unknown,yes,@mckesson,https://x.com/mckesson,profile_accessible,authenticated_playwright,McKesson Corporation (@McKesson) / X,https://x.com/mckesson,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,9,Exxon Mobil,Organization,https://fortune.com/company/exxon-mobil/,unknown,yes,@exxonmobil,https://x.com/exxonmobil,profile_accessible,authenticated_playwright,ExxonMobil (@exxonmobil) / X,https://x.com/exxonmobil,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,10,Cencora,Organization,https://fortune.com/company/amerisourcebergen/,unknown,no,@cencora,https://x.com/cencora,not_found,authenticated_playwright,Profile / X,https://x.com/cencora,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X URL rendered a not-found/unavailable account message.,2026-06-10T10:03:54+00:00
