variable_a,variable_b,pearson_r,spearman_rho,n
likes,replies,0.536846,0.773161,2798
likes,retweets,0.888368,0.879917,2798
likes,quotes,0.510560,0.609344,2798
likes,total_engagement,0.997266,0.987211,2798
likes,log_total_engagement,0.357878,0.987211,2798
likes,text_length,-0.041692,-0.107477,2798
likes,word_count,-0.031303,-0.038934,2798
likes,has_url,0.003175,-0.085920,2798
likes,hashtag_count,-0.071202,-0.321671,2798
likes,mention_count,-0.053187,-0.384729,2798
likes,sentiment_score,-0.056306,-0.191873,2798
likes,humor_score,-0.019029,-0.103963,2798
likes,topic_score,-0.057753,-0.099693,2798
likes,is_viral,0.496801,0.334881,2798
likes,sentiment_negative,0.060670,0.134096,2798
likes,sentiment_neutral,0.000822,0.056929,2798
likes,sentiment_positive,-0.060645,-0.154714,2798
likes,humor_affiliative_humor,-0.002980,-0.017356,2798
likes,humor_aggressive_humor,-0.006856,0.037484,2798
likes,humor_non_humorous_brand_message,0.072381,0.087992,2798
likes,humor_self_defeating_humor,0.010171,0.032220,2798
likes,humor_self_enhancing_humor,-0.072904,-0.098149,2798
replies,retweets,0.413029,0.663580,2798
replies,quotes,0.478202,0.717880,2798
replies,total_engagement,0.546219,0.796214,2798
replies,log_total_engagement,0.348288,0.796214,2798
replies,text_length,-0.023036,-0.050582,2798
replies,word_count,-0.008415,-0.003008,2798
replies,has_url,-0.034036,-0.066964,2798
replies,hashtag_count,-0.059353,-0.195249,2798
replies,mention_count,-0.072194,-0.361489,2798
replies,sentiment_score,-0.015775,-0.138610,2798
replies,humor_score,-0.001566,-0.065733,2798
replies,topic_score,-0.041348,-0.029807,2798
replies,is_viral,0.468624,0.311596,2798
replies,sentiment_negative,0.047540,0.102017,2798
replies,sentiment_neutral,-0.012875,0.019006,2798
replies,sentiment_positive,-0.042449,-0.108586,2798
replies,humor_affiliative_humor,-0.012894,-0.025475,2798
replies,humor_aggressive_humor,-0.001847,0.005824,2798
replies,humor_non_humorous_brand_message,0.046114,0.036067,2798
replies,humor_self_defeating_humor,0.041397,0.013451,2798
replies,humor_self_enhancing_humor,-0.050294,-0.035449,2798
retweets,quotes,0.474953,0.511412,2798
retweets,total_engagement,0.916395,0.913246,2798
retweets,log_total_engagement,0.295249,0.913246,2798
retweets,text_length,-0.015847,-0.027393,2798
retweets,word_count,-0.011866,0.015010,2798
retweets,has_url,0.021086,-0.024117,2798
retweets,hashtag_count,-0.045470,-0.198800,2798
retweets,mention_count,-0.033310,-0.314953,2798
retweets,sentiment_score,-0.033028,-0.139602,2798
retweets,humor_score,-0.008721,-0.069375,2798
retweets,topic_score,-0.041386,-0.064489,2798
retweets,is_viral,0.436857,0.348196,2798
retweets,sentiment_negative,0.029645,0.114155,2798
retweets,sentiment_neutral,0.001904,0.030454,2798
retweets,sentiment_positive,-0.030197,-0.124951,2798
retweets,humor_affiliative_humor,0.000186,-0.016360,2798
retweets,humor_aggressive_humor,-0.008136,0.028126,2798
retweets,humor_non_humorous_brand_message,0.061683,0.051924,2798
retweets,humor_self_defeating_humor,0.003793,0.034468,2798
retweets,humor_self_enhancing_humor,-0.061411,-0.060359,2798
quotes,total_engagement,0.536291,0.624413,2798
quotes,log_total_engagement,0.257613,0.624413,2798
quotes,text_length,-0.007635,-0.068833,2798
quotes,word_count,-0.007451,-0.028541,2798
quotes,has_url,0.046477,-0.041703,2798
quotes,hashtag_count,-0.039319,-0.235339,2798
quotes,mention_count,-0.035220,-0.215855,2798
quotes,sentiment_score,-0.065878,-0.151681,2798
quotes,humor_score,-0.040121,-0.091405,2798
quotes,topic_score,-0.040885,-0.064445,2798
quotes,is_viral,0.405388,0.249142,2798
quotes,sentiment_negative,0.075345,0.139371,2798
quotes,sentiment_neutral,0.000483,0.029098,2798
quotes,sentiment_positive,-0.075112,-0.149520,2798
quotes,humor_affiliative_humor,-0.008415,-0.026297,2798
quotes,humor_aggressive_humor,-0.006666,0.006848,2798
quotes,humor_non_humorous_brand_message,0.047543,0.027144,2798
quotes,humor_self_defeating_humor,0.039679,0.001751,2798
quotes,humor_self_enhancing_humor,-0.051285,-0.024764,2798
total_engagement,log_total_engagement,0.358798,1.000000,2798
total_engagement,text_length,-0.038089,-0.093597,2798
total_engagement,word_count,-0.028454,-0.027076,2798
total_engagement,has_url,0.006320,-0.082395,2798
total_engagement,hashtag_count,-0.068894,-0.310982,2798
total_engagement,mention_count,-0.052104,-0.372806,2798
total_engagement,sentiment_score,-0.054323,-0.182991,2798
total_engagement,humor_score,-0.018395,-0.095149,2798
total_engagement,topic_score,-0.056646,-0.094734,2798
total_engagement,is_viral,0.503038,0.349744,2798
total_engagement,sentiment_negative,0.058407,0.131328,2798
total_engagement,sentiment_neutral,0.000717,0.050302,2798
total_engagement,sentiment_positive,-0.058355,-0.149476,2798
total_engagement,humor_affiliative_humor,-0.002972,-0.018651,2798
total_engagement,humor_aggressive_humor,-0.007186,0.033862,2798
total_engagement,humor_non_humorous_brand_message,0.072229,0.081155,2798
total_engagement,humor_self_defeating_humor,0.011036,0.032485,2798
total_engagement,humor_self_enhancing_humor,-0.072815,-0.090365,2798
log_total_engagement,text_length,-0.052571,-0.093597,2798
log_total_engagement,word_count,0.002477,-0.027076,2798
log_total_engagement,has_url,-0.054117,-0.082395,2798
log_total_engagement,hashtag_count,-0.225319,-0.310982,2798
log_total_engagement,mention_count,-0.311674,-0.372806,2798
log_total_engagement,sentiment_score,-0.163232,-0.182991,2798
log_total_engagement,humor_score,-0.047389,-0.095149,2798
log_total_engagement,topic_score,-0.108361,-0.094734,2798
log_total_engagement,is_viral,0.411243,0.349744,2798
log_total_engagement,sentiment_negative,0.140328,0.131328,2798
log_total_engagement,sentiment_neutral,0.038725,0.050302,2798
log_total_engagement,sentiment_positive,-0.154083,-0.149476,2798
log_total_engagement,humor_affiliative_humor,-0.014950,-0.018651,2798
log_total_engagement,humor_aggressive_humor,0.027176,0.033862,2798
log_total_engagement,humor_non_humorous_brand_message,0.070830,0.081155,2798
log_total_engagement,humor_self_defeating_humor,0.033800,0.032485,2798
log_total_engagement,humor_self_enhancing_humor,-0.079429,-0.090365,2798
text_length,word_count,0.939621,0.948520,2798
text_length,has_url,0.172042,0.172988,2798
text_length,hashtag_count,0.255981,0.274752,2798
text_length,mention_count,0.181130,0.149299,2798
text_length,sentiment_score,0.170439,0.203443,2798
text_length,humor_score,-0.004566,-0.024154,2798
text_length,topic_score,0.327250,0.470352,2798
