humor_type,sentiment_label,post_count,share,average_engagement,median_engagement,average_humor_score,average_sentiment_score
Affiliative humor,negative,5,0.0018076644974692696,7536.0,869.0,0.2904029071331024,0.7668227076530456
Affiliative humor,positive,12,0.004338394793926247,4730.083333333333,466.0,0.3687460261086623,0.7297550911704699
Aggressive humor,negative,19,0.006869125090383225,4036.0,1901.0,0.3877696002784528,0.7036692594227038
Aggressive humor,positive,5,0.0018076644974692696,3801.6,1280.0,0.34709974825382234,0.7658598124980927
Non-humorous brand message,negative,757,0.2736804049168474,12712.511228533685,1354.0,0.39811853011344195,0.5378106256929698
Non-humorous brand message,neutral,83,0.030007230657989877,8114.0,2031.0,0.4912431530923729,0.4639973407050213
Non-humorous brand message,positive,886,0.3203181489515546,6533.132054176072,726.0,0.4901003585476639,0.7008914337335806
Self-defeating humor,negative,12,0.004338394793926247,14916.416666666666,2282.5,0.33205872525771457,0.7759901334842046
Self-defeating humor,neutral,1,0.00036153289949385393,3218.0,3218.0,0.26029810309410095,0.4890373647212982
Self-defeating humor,positive,1,0.00036153289949385393,288.0,288.0,0.27415159344673157,0.6381132006645203
Self-enhancing humor,negative,433,0.15654374548083877,4561.972286374134,858.0,0.40390638532181533,0.6403393671776901
Self-enhancing humor,neutral,18,0.006507592190889371,2958.8888888888887,1058.0,0.35092974868085647,0.4428141481346554
Self-enhancing humor,positive,534,0.19305856832971802,2239.5280898876404,551.5,0.549824583396483,0.7698528316248668
