variable_a,variable_b,pearson_r,spearman_rho,n
likes,replies,0.538608,0.773470,2777
likes,retweets,0.888383,0.880012,2777
likes,quotes,0.511083,0.609550,2777
likes,total_engagement,0.997271,0.987184,2777
likes,log_total_engagement,0.357836,0.987184,2777
likes,text_length,-0.041610,-0.107767,2777
likes,word_count,-0.031166,-0.039072,2777
likes,has_url,0.003880,-0.085672,2777
likes,hashtag_count,-0.071873,-0.324112,2777
likes,mention_count,-0.053466,-0.385091,2777
likes,sentiment_score,-0.056884,-0.192190,2777
likes,humor_score,-0.019590,-0.106140,2777
likes,topic_score,-0.063983,-0.111451,2777
likes,is_viral,0.497176,0.334313,2777
likes,sentiment_negative,0.061389,0.138554,2777
likes,sentiment_neutral,0.000559,0.056387,2777
likes,sentiment_positive,-0.061249,-0.158992,2777
likes,humor_affiliative_humor,-0.003091,-0.017638,2777
likes,humor_aggressive_humor,-0.007023,0.037227,2777
likes,humor_non_humorous_brand_message,0.072725,0.088796,2777
likes,humor_self_defeating_humor,0.010060,0.032076,2777
likes,humor_self_enhancing_humor,-0.073188,-0.098884,2777
replies,retweets,0.413177,0.663476,2777
replies,quotes,0.477791,0.718865,2777
replies,total_engagement,0.547686,0.796407,2777
replies,log_total_engagement,0.347800,0.796407,2777
replies,text_length,-0.023222,-0.052080,2777
replies,word_count,-0.008548,-0.004306,2777
replies,has_url,-0.033025,-0.067621,2777
replies,hashtag_count,-0.060022,-0.197199,2777
replies,mention_count,-0.072429,-0.361990,2777
replies,sentiment_score,-0.016738,-0.139930,2777
replies,humor_score,-0.002419,-0.067335,2777
replies,topic_score,-0.049049,-0.038933,2777
replies,is_viral,0.467137,0.310693,2777
replies,sentiment_negative,0.048541,0.105027,2777
replies,sentiment_neutral,-0.013209,0.018592,2777
replies,sentiment_positive,-0.043290,-0.111427,2777
replies,humor_affiliative_humor,-0.012987,-0.025584,2777
replies,humor_aggressive_humor,-0.001956,0.005672,2777
replies,humor_non_humorous_brand_message,0.046448,0.036078,2777
replies,humor_self_defeating_humor,0.041164,0.013208,2777
replies,humor_self_enhancing_humor,-0.050577,-0.035376,2777
retweets,quotes,0.475060,0.511873,2777
retweets,total_engagement,0.916403,0.913436,2777
retweets,log_total_engagement,0.295111,0.913436,2777
retweets,text_length,-0.015662,-0.027977,2777
retweets,word_count,-0.011642,0.014870,2777
retweets,has_url,0.021766,-0.023400,2777
retweets,hashtag_count,-0.045949,-0.201768,2777
retweets,mention_count,-0.033521,-0.315191,2777
retweets,sentiment_score,-0.033460,-0.140586,2777
retweets,humor_score,-0.009188,-0.072176,2777
retweets,topic_score,-0.048671,-0.084248,2777
retweets,is_viral,0.437459,0.347904,2777
retweets,sentiment_negative,0.030084,0.118598,2777
retweets,sentiment_neutral,0.001675,0.029948,2777
retweets,sentiment_positive,-0.030543,-0.129197,2777
retweets,humor_affiliative_humor,0.000088,-0.016612,2777
retweets,humor_aggressive_humor,-0.008242,0.027785,2777
retweets,humor_non_humorous_brand_message,0.061963,0.053429,2777
retweets,humor_self_defeating_humor,0.003700,0.034299,2777
retweets,humor_self_enhancing_humor,-0.061645,-0.061781,2777
quotes,total_engagement,0.536667,0.624619,2777
quotes,log_total_engagement,0.257754,0.624619,2777
quotes,text_length,-0.007638,-0.068846,2777
quotes,word_count,-0.007419,-0.028491,2777
quotes,has_url,0.047102,-0.042171,2777
quotes,hashtag_count,-0.039761,-0.236873,2777
quotes,mention_count,-0.035466,-0.216423,2777
quotes,sentiment_score,-0.066436,-0.152704,2777
quotes,humor_score,-0.040587,-0.093048,2777
quotes,topic_score,-0.041502,-0.075775,2777
quotes,is_viral,0.406395,0.248220,2777
quotes,sentiment_negative,0.076009,0.142208,2777
quotes,sentiment_neutral,0.000307,0.028834,2777
quotes,sentiment_positive,-0.075690,-0.152252,2777
quotes,humor_affiliative_humor,-0.008490,-0.026479,2777
quotes,humor_aggressive_humor,-0.006769,0.006714,2777
quotes,humor_non_humorous_brand_message,0.047812,0.027652,2777
quotes,humor_self_defeating_humor,0.039633,0.001603,2777
quotes,humor_self_enhancing_humor,-0.051532,-0.025192,2777
total_engagement,log_total_engagement,0.358714,1.000000,2777
total_engagement,text_length,-0.037992,-0.093950,2777
total_engagement,word_count,-0.028303,-0.027259,2777
total_engagement,has_url,0.007050,-0.082084,2777
total_engagement,hashtag_count,-0.069548,-0.313524,2777
total_engagement,mention_count,-0.052377,-0.373136,2777
total_engagement,sentiment_score,-0.054899,-0.183517,2777
total_engagement,humor_score,-0.018961,-0.097449,2777
total_engagement,topic_score,-0.063136,-0.107233,2777
total_engagement,is_viral,0.503409,0.349307,2777
total_engagement,sentiment_negative,0.059105,0.135874,2777
total_engagement,sentiment_neutral,0.000450,0.049733,2777
total_engagement,sentiment_positive,-0.058937,-0.153822,2777
total_engagement,humor_affiliative_humor,-0.003083,-0.018927,2777
