humor_type,sentiment_label,post_count,share,average_engagement,median_engagement,average_humor_score,average_sentiment_score
Affiliative humor,negative,5,0.0017806267806267807,7556.4,862.0,0.2904029071331024,0.7668227076530456
Affiliative humor,positive,12,0.004273504273504274,4731.5,465.5,0.3687460261086623,0.7297550911704699
Aggressive humor,negative,19,0.006766381766381766,4109.0526315789475,1901.0,0.3877696002784528,0.7036692594227038
Aggressive humor,positive,5,0.0017806267806267807,3797.8,1274.0,0.34709974825382234,0.7658598124980927
Non-humorous brand message,negative,769,0.27386039886039887,12488.339401820545,1294.0,0.39861032750423614,0.5377181551003797
Non-humorous brand message,neutral,83,0.02955840455840456,8128.566265060241,2050.0,0.4912431530923729,0.4639973407050213
Non-humorous brand message,positive,901,0.3208689458689459,6421.985571587125,715.0,0.4895137613773611,0.6993750155170538
Self-defeating humor,negative,12,0.004273504273504274,14930.416666666666,2270.5,0.33205872525771457,0.7759901334842046
Self-defeating humor,neutral,1,0.00035612535612535614,3199.0,3199.0,0.26029810309410095,0.4890373647212982
Self-defeating humor,positive,1,0.00035612535612535614,288.0,288.0,0.27415159344673157,0.6381132006645203
Self-enhancing humor,negative,441,0.15705128205128205,4485.412698412699,805.0,0.4034074847660368,0.6394250110433756
Self-enhancing humor,neutral,18,0.00641025641025641,2985.8888888888887,1056.0,0.35092974868085647,0.4428141481346554
Self-enhancing humor,positive,541,0.19266381766381765,2235.234750462107,553.0,0.5484995723541916,0.7686510700835758
