fortune_rank,firm_name,target_report_year,status,error_type,error_message,sec_cik,sec_company_name,sec_match_score,sec_filing_url,local_report_path,attempted_at
1,Amazon,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
1,Amazon,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
1,Amazon,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
2,Walmart,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
2,Walmart,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
2,Walmart,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
3,UnitedHealth Group,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
3,UnitedHealth Group,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
3,UnitedHealth Group,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
4,Apple,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
4,Apple,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
4,Apple,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
5,Alphabet,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
5,Alphabet,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
5,Alphabet,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
6,CVS Health,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
6,CVS Health,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
6,CVS Health,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
7,Berkshire Hathaway,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
7,Berkshire Hathaway,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
7,Berkshire Hathaway,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
8,McKesson,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
8,McKesson,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
8,McKesson,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
9,Exxon Mobil,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
9,Exxon Mobil,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
9,Exxon Mobil,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
10,Cencora,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
10,Cencora,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
10,Cencora,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
11,Microsoft,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
11,Microsoft,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
11,Microsoft,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
12,JPMorgan Chase,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
12,JPMorgan Chase,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
12,JPMorgan Chase,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
13,Costco Wholesale,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
13,Costco Wholesale,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
13,Costco Wholesale,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
14,Cigna Group,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
