fortune_rank,company_name,official_x_handle,folder,attempted,status,posts_collected,error_type,error_message,started_at,completed_at
1,Amazon,@amazon,data/raw/fortune_x_2025_ranked/001_amazon,true,success,15,,,2026-06-12T16:14:53.295060+00:00,2026-06-12T16:14:59.778202+00:00
2,Walmart,@walmart,data/raw/fortune_x_2025_ranked/002_walmart,true,success,15,,,2026-06-12T16:14:55.386990+00:00,2026-06-12T16:15:01.422041+00:00
3,UnitedHealth Group,@UnitedHealthGrp,data/raw/fortune_x_2025_ranked/003_unitedhealth_group,true,success,15,,,2026-06-12T16:15:36.838712+00:00,2026-06-12T16:15:42.738953+00:00
4,Apple,@apple,data/raw/fortune_x_2025_ranked/004_apple,true,failed,0,collector_failed,"eption, another exception occurred:  Traceback (most recent call last):   File ""/home/runner/work/x_scrapper/x_scrapper/scrape_x.py"", line 20, in <module>     asyncio.run(scrape_profile())   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 190, in run     return runner.run(main)            ^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 118, in run     return self._loop.run_until_complete(task)            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/base_events.py"", line 654, in run_until_complete     return future.result()            ^^^^^^^^^^^^^^^   File ""/home/runner/work/x_scrapper/x_scrapper/src/x_scrapper/collection/x_scraper.py"", line 257, in scrape_profile     raise RuntimeError( RuntimeError: X profile did not render tweets. url=https://x.com/apple, title=Apple (@Apple) / X. 쿠키가 만료됐거나 GitHub Actions 접속이 X에서 차단됐을 수 있습니다. ",2026-06-12T16:15:36.488311+00:00,2026-06-12T16:24:40.618105+00:00
5,Alphabet,@Alphabetlnc,data/raw/fortune_x_2025_ranked/005_alphabet,true,success,17,,,2026-06-12T16:16:32.850145+00:00,2026-06-12T16:18:45.029329+00:00
6,CVS Health,@cvshealth,data/raw/fortune_x_2025_ranked/006_cvs_health,true,success,15,,,2026-06-12T16:19:28.265576+00:00,2026-06-12T16:19:34.908898+00:00
7,Berkshire Hathaway,@berkshire,data/raw/fortune_x_2025_ranked/007_berkshire_hathaway,true,failed,0,collector_failed,"tion occurred:  Traceback (most recent call last):   File ""/home/runner/work/x_scrapper/x_scrapper/scrape_x.py"", line 20, in <module>     asyncio.run(scrape_profile())   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 190, in run     return runner.run(main)            ^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 118, in run     return self._loop.run_until_complete(task)            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/base_events.py"", line 654, in run_until_complete     return future.result()            ^^^^^^^^^^^^^^^   File ""/home/runner/work/x_scrapper/x_scrapper/src/x_scrapper/collection/x_scraper.py"", line 257, in scrape_profile     raise RuntimeError( RuntimeError: X profile did not render tweets. url=https://x.com/berkshire, title=Berkshire Hathaway (@berkshire) / X. 쿠키가 만료됐거나 GitHub Actions 접속이 X에서 차단됐을 수 있습니다. ",2026-06-12T16:20:10.778244+00:00,2026-06-12T16:29:14.453627+00:00
8,McKesson,@mckesson,data/raw/fortune_x_2025_ranked/008_mckesson,true,success,15,,,2026-06-12T16:25:21.903715+00:00,2026-06-12T16:25:27.853453+00:00
9,Exxon Mobil,@exxonmobil,data/raw/fortune_x_2025_ranked/009_exxon_mobil,true,success,15,,,2026-06-12T16:26:08.166414+00:00,2026-06-12T16:26:14.017114+00:00
10,Cencora,@CencoraGlobal,data/raw/fortune_x_2025_ranked/010_cencora,true,success,15,,,2026-06-12T16:26:55.816786+00:00,2026-06-12T16:27:01.449598+00:00
