company_name,ticker,cik,cik_padded,target_report_year,filing_date,event_trading_date,naics_code,naics_sector_code,naics_sector_name,CAR_m1_p1,CAR_m3_p3,CAR_m5_p5,CAR_m1_p1_available,CAR_m3_p3_available,CAR_m5_p5_available,car_source,car_calculation_status,missing_car_reason,future_date_flag,date_alignment_warning,CAR_m3_p3_window_n,CAR_m3_p3_nonmissing_ar_n,CAR_m3_p3_complete_window,CAR_m5_p5_window_n,CAR_m5_p5_nonmissing_ar_n,CAR_m5_p5_complete_window,CAR_m1_p1_recomputed,ar_computation_status,crosscheck_pass
Amazon,AMZN,1018724,1018724,2023,2024-02-02,2024-02-02,,44-45,Retail Trade,0.061967,0.03225239,0.05542104,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.06196676,computed,True
Amazon,AMZN,1018724,1018724,2024,2025-02-07,2025-02-07,,44-45,Retail Trade,-0.014258,-0.05100381,-0.03687096,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.01425752,computed,True
Amazon,AMZN,1018724,1018724,2025,2026-02-06,2026-02-06,,44-45,Retail Trade,-0.123731,-0.16086112,-0.15850594,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.12373148,computed,True
Walmart,WMT,104169,104169,2023,2023-03-17,2023-03-17,,44-45,Retail Trade,0.004842,0.00794835,0.02892852,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.00484203,computed,True
Walmart,WMT,104169,104169,2024,2024-03-15,2024-03-15,,44-45,Retail Trade,-0.004034,0.00127729,-7.524e-05,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.00403433,computed,True
Walmart,WMT,104169,104169,2025,2025-03-14,2025-03-14,,44-45,Retail Trade,0.016391,-0.03415599,-0.11175599,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.01639057,computed,True
UnitedHealth Group,UNH,731766,731766,2023,2024-02-28,2024-02-28,,52,Finance and Insurance,-0.06448,-0.09262655,-0.10753662,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.06447971,computed,True
UnitedHealth Group,UNH,731766,731766,2024,2025-02-27,2025-02-27,,52,Finance and Insurance,0.009136,0.02462292,-0.03415027,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.0091364,computed,True
UnitedHealth Group,UNH,731766,731766,2025,2026-03-02,2026-03-02,,52,Finance and Insurance,0.017749,0.0666438,0.01377218,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.01774869,computed,True
Apple,AAPL,320193,320193,2023,2023-11-03,2023-11-03,,31-33,Manufacturing,-0.009581,0.00423897,0.02508951,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.00958091,computed,True
Apple,AAPL,320193,320193,2024,2024-11-01,2024-11-01,,31-33,Manufacturing,-0.017928,-0.06410925,-0.04506788,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.01792828,computed,True
Apple,AAPL,320193,320193,2025,2025-10-31,2025-10-31,,31-33,Manufacturing,0.006201,0.02302011,0.04074039,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.00620133,computed,True
Alphabet,GOOGL,1652044,1652044,2023,2024-01-31,2024-01-31,,51,Information,-0.078657,-0.07229006,-0.05242198,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.07865703,computed,True
Alphabet,GOOGL,1652044,1652044,2024,2025-02-05,2025-02-05,,51,Information,-0.067417,-0.0757779,-0.06229009,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.06741703,computed,True
Alphabet,GOOGL,1652044,1652044,2025,2026-02-05,2026-02-05,,51,Information,-0.057867,-0.07073031,-0.07894812,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.05786698,computed,True
CVS Health,CVS,64803,64803,2023,2024-02-07,2024-02-07,,44-45,Retail Trade,0.031007,0.03496876,0.03195408,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.03100702,computed,True
CVS Health,CVS,64803,64803,2024,2025-02-12,2025-02-12,,44-45,Retail Trade,0.205534,0.20529498,0.16814938,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.20553386,computed,True
CVS Health,CVS,64803,64803,2025,2026-02-10,2026-02-10,,44-45,Retail Trade,-0.022546,0.03291834,0.01696335,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.02254647,computed,True
