"global_post_id","tweet_id","company_name","source_x_handle","human_label_source","human_label_scope","human_humor_label_raw","human_humor_binary","human_humor_type_raw","human_humor_type_normalized","label_missing_flag","raw_match_status","raw_text_match_status","human_text","raw_text","text_normalized_equal","created_at_human","created_at_raw","tweet_url","reply_count","favorite_count","retweet_count","quote_count","bookmark_count","view_count","lang","conversation_id","is_quote_status","raw_source","raw_scraped_at"
"benchmark:wendys:1198285151702118400","1198285151702118400","Wendy's","@Wendys","Wendy's partial human review sample","partial","none","0","none","none","false","matched","match","Time for the biggest game of the day: @PennStateFball vs @OhioStateFBall Come hang out with @LaVarArrington &amp; @BeanieWells26 on the sideline of The Shoe for our @Wendys Watch Party! https://t.co/eTL9bPNbBT","Time for the biggest game of the day: @PennStateFball vs @OhioStateFBall
Come hang out with @LaVarArrington &amp; @BeanieWells26 on the sideline of The Shoe for our @Wendys Watch Party! https://t.co/eTL9bPNbBT","true","Sat Nov 23 17:00:17 +0000 2019","Sat Nov 23 17:00:17 +0000 2019","https://x.com/Wendys/status/1198285151702118400","16","338","34","0","0","None","en","1198285151702118400","False","browser_graphql","1779461888"
"benchmark:wendys:1198363148094328832","1198363148094328832","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","affiliative","affiliative","false","matched","match","To be fair, you have to have a very high IQ to understand Rick and Morty. So make sure you watch it this Sunday night, genius.","To be fair, you have to have a very high IQ to understand Rick and Morty. So make sure you watch it this Sunday night, genius.","true","Sat Nov 23 22:10:13 +0000 2019","Sat Nov 23 22:10:13 +0000 2019","https://x.com/Wendys/status/1198363148094328832","146","5558","429","0","0","None","en","1198363148094328832","True","browser_graphql","1779461888"
"benchmark:wendys:1198858858267127809","1198858858267127809","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","aggressive","aggressive","false","matched","match","What's the most disrespectful diss track of all time?","What's the most disrespectful diss track of all time?","true","Mon Nov 25 07:00:00 +0000 2019","Mon Nov 25 07:00:00 +0000 2019","https://x.com/Wendys/status/1198858858267127809","2167","2626","273","0","0","None","en","1198858858267127809","False","browser_graphql","1779461888"
"benchmark:wendys:1202638489126342657","1202638489126342657","Wendy's","@Wendys","Wendy's partial human review sample","partial","non_humor","0","none","none","false","matched","match","This is no drill. Frosty Key Tags are back. Get your $2 hookup for a free Jr. Frosty all year. Proceeds help support @DTFA. https://t.co/hlpZZouIcK","This is no drill. Frosty Key Tags are back. Get your $2 hookup for a free Jr. Frosty all year. Proceeds help support @DTFA. https://t.co/hlpZZouIcK","true","Thu Dec 05 17:18:54 +0000 2019","Thu Dec 05 17:18:54 +0000 2019","https://x.com/Wendys/status/1202638489126342657","147","1295","103","0","0","None","en","1202638489126342657","False","browser_graphql","1779461888"
"benchmark:wendys:1205531387975090177","1205531387975090177","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","aggressive","aggressive","false","matched","match","Wendy’s cups should be square but no one wants to poke that tiger","Wendy’s cups should be square but no one wants to poke that tiger","true","Fri Dec 13 16:54:15 +0000 2019","Fri Dec 13 16:54:15 +0000 2019","https://x.com/Wendys/status/1205531387975090177","15","1864","184","4","12","None","en","1205531387975090177","False","browser_graphql","1781370208"
"benchmark:wendys:1205577307810910209","1205577307810910209","Wendy's","@Wendys","Wendy's partial human review sample","partial","non_humor","0","none","none","false","matched","match","10 patties of fresh, never frozen Canadian beef. This is our dream. #PowerYourDreams https://t.co/2FLxlUIBZc","10 patties of fresh, never frozen Canadian beef. This is our dream. #PowerYourDreams https://t.co/2FLxlUIBZc","true","Fri Dec 13 19:56:43 +0000 2019","Fri Dec 13 19:56:43 +0000 2019","https://x.com/Wendys/status/1205577307810910209","597","10558","2279","625","68","None","en","1205577307810910209","False","browser_graphql","1781370205"
"benchmark:wendys:1205932906406920194","1205932906406920194","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","affiliative","affiliative","false","matched","match","Watch Rick and Morty with us on Sunday and try to get five in a row on this game your grandma loves that we can’t legally say the name of! Schwifty! https://t.co/rw8leGuV1n","Watch Rick and Morty with us on Sunday and try to get five in a row on this game your grandma loves that we can’t legally say the name of! Schwifty! https://t.co/rw8leGuV1n","true","Sat Dec 14 19:29:44 +0000 2019","Sat Dec 14 19:29:44 +0000 2019","https://x.com/Wendys/status/1205932906406920194","189","6847","755","148","178","None","en","1205932906406920194","False","browser_graphql","1781370205"
"benchmark:wendys:1205941546538938368","1205941546538938368","Wendy's","@Wendys","Wendy's partial human review sample","partial","none","0","none","none","false","matched","match","Rick and Morty are back again this Sunday, so come by our place and grab a Baconator to eat while you watch.","Rick and Morty are back again this Sunday, so come by our place and grab a Baconator to eat while you watch.","true","Sat Dec 14 20:04:04 +0000 2019","Sat Dec 14 20:04:04 +0000 2019","https://x.com/Wendys/status/1205941546538938368","80","3536","178","10","26","None","en","1205941546538938368","True","browser_graphql","1781370205"
"benchmark:wendys:1206433794796015617","1206433794796015617","Wendy's","@Wendys","Wendy's partial human review sample","partial","","","","none","true","matched","match","Boom! 5 in a row. Haven't even hit a commercial break yet. Nailed it.","Boom! 5 in a row. Haven't even hit a commercial break yet. Nailed it.","true","Mon Dec 16 04:40:05 +0000 2019","Mon Dec 16 04:40:05 +0000 2019","https://x.com/Wendys/status/1206433794796015617","69","1867","28","2","3","None","en","1205932906406920194","False","browser_graphql","1781370205"
"benchmark:wendys:1207030238447898625","1207030238447898625","Wendy's","@Wendys","Wendy's partial human review sample","partial","non_humor","0","none","none","false","matched","match","Sir, this is a","Sir, this is a","true","Tue Dec 17 20:10:09 +0000 2019","Tue Dec 17 20:10:09 +0000 2019","https://x.com/Wendys/status/1207030238447898625","367","23787","1329","32","59","None","en","1207030238447898625","True","browser_graphql","1781370205"
"benchmark:wendys:1207700570213101585","1207700570213101585","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","affiliative","affiliative","false","matched","match","meryl can have a little french fries, as a treat.","meryl can have a little french fries, as a treat.","true","Thu Dec 19 16:33:48 +0000 2019","Thu Dec 19 16:33:48 +0000 2019","https://x.com/Wendys/status/1207700570213101585","76","10355","381","9","28","None","en","1207700570213101585","True","browser_graphql","1781370205"
"benchmark:wendys:1216801098608017413","1216801098608017413","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","self-defeating","self_defeating","false","matched","match","Not saying eating our french fries gets you an #Oscar nomination but also...sup","Not saying eating our french fries gets you an #Oscar nomination but also...sup","true","Mon Jan 13 19:16:03 +0000 2020","Mon Jan 13 19:16:03 +0000 2020","https://x.com/Wendys/status/1216801098608017413","90","7997","356","15","37","None","en","1216801098608017413","True","browser_graphql","1781370205"
"benchmark:wendys:1216894246021713920","1216894246021713920","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","affiliative","affiliative","false","matched","match","Looked who dropped by to see what Spicy Nuggets were supposed to taste like.","Looked who dropped by to see what Spicy Nuggets were supposed to taste like.","true","Tue Jan 14 01:26:11 +0000 2020","Tue Jan 14 01:26:11 +0000 2020","https://x.com/Wendys/status/1216894246021713920","1378","87118","10135","757","310","None","en","1216894246021713920","True","browser_graphql","1781370205"
"benchmark:wendys:1217123276549427201","1217123276549427201","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","affiliative","affiliative","false","matched","match","That's what we call a glow up.","That's what we call a glow up.","true","Tue Jan 14 16:36:16 +0000 2020","Tue Jan 14 16:36:16 +0000 2020","https://x.com/Wendys/status/1217123276549427201","240","33513","1736","76","49","None","en","1217123276549427201","True","browser_graphql","1781370205"
"benchmark:wendys:1220437845388730370","1220437845388730370","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","aggressive","aggressive","false","matched","match","Is it a garbage truck?","Is it a garbage truck?","true","Thu Jan 23 20:07:11 +0000 2020","Thu Jan 23 20:07:11 +0000 2020","https://x.com/Wendys/status/1220437845388730370","7343","796387","112925","11260","3530","None","en","1220437845388730370","True","browser_graphql","1781370205"
"benchmark:wendys:1221885535737864192","1221885535737864192","Wendy's","@Wendys","Wendy's partial human review sample","partial","non_humor","0","aggressive","aggressive","false","matched","match","Picking up their order.","Picking up their order.","true","Mon Jan 27 19:59:47 +0000 2020","Mon Jan 27 19:59:47 +0000 2020","https://x.com/Wendys/status/1221885535737864192","1119","119087","11944","909","425","None","en","1221885535737864192","True","browser_graphql","1781370205"
"benchmark:wendys:1224794757559455746","1224794757559455746","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","aggressive","aggressive","false","matched","match","When they ask what your weaknesses are during the interview.","When they ask what your weaknesses are during the interview.","true","Tue Feb 04 20:40:00 +0000 2020","Tue Feb 04 20:40:00 +0000 2020","https://x.com/Wendys/status/1224794757559455746","202","10356","433","14","22","None","en","1224794757559455746","True","browser_graphql","1781370200"
"benchmark:wendys:1228371313938567174","1228371313938567174","Wendy's","@Wendys","Wendy's partial human review sample","partial","non_humor","0","none","none","false","matched","match","Thanks for the huge nugget @Wendys 😂😂😍😋 https://t.co/4vgfPGyUZR","Thanks for the huge nugget @Wendys 😂😂😍😋 https://t.co/4vgfPGyUZR","true","Fri Feb 14 17:31:57 +0000 2020","Fri Feb 14 17:31:57 +0000 2020","https://x.com/Wendys/status/1228371313938567174","9","421","10","1","0","None","en","1228371313938567174","False","browser_graphql","1781370200"
"benchmark:wendys:1228373033167048705","1228373033167048705","Wendy's","@Wendys","Wendy's partial human review sample","partial","non_humor","0","none","none","false","matched","match","Proud of this big spicy boi","Proud of this big spicy boi","true","Fri Feb 14 17:38:47 +0000 2020","Fri Feb 14 17:38:47 +0000 2020","https://x.com/Wendys/status/1228373033167048705","213","10855","445","29","27","None","en","1228373033167048705","True","browser_graphql","1781370200"
"benchmark:wendys:1229264235387129856","1229264235387129856","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","aggressive","aggressive","false","matched","match","BURGER KING is testing a sandwich with nothing but french fries: https://t.co/cMELl6fZaV https://t.co/D1taIscJk2","BURGER KING is testing a sandwich with nothing but french fries:

https://t.co/cMELl6fZaV https://t.co/D1taIscJk2","true","Mon Feb 17 04:40:06 +0000 2020","Mon Feb 17 04:40:06 +0000 2020","https://x.com/Wendys/status/1229264235387129856","1750","5861","1336","8897","180","None","en","1229264235387129856","False","browser_graphql","1781370200"
"benchmark:wendys:1233494419925585924","1233494419925585924","Wendy's","@Wendys","Wendy's partial human review sample","partial","humor","1","aggressive","aggressive","false","matched","match","Here lies mediocrity. #EggRIPMuffin https://t.co/fYxcn8LObe","Here lies mediocrity. #EggRIPMuffin https://t.co/fYxcn8LObe","true","Fri Feb 28 20:49:21 +0000 2020","Fri Feb 28 20:49:21 +0000 2020","https://x.com/Wendys/status/1233494419925585924","1239","37121","2958","683","96","None","en","1233494419925585924","False","browser_graphql","1781370200"
"benchmark:wendys:1234275836905369603","1234275836905369603","Wendy's","@Wendys","Wendy's partial human review sample","partial","non_humor","0","none","none","false","matched","match","Y’all got any plans for breakfast tomorrow orrrrrrrrr…..?","Y’all got any plans for breakfast tomorrow orrrrrrrrr…..?","true","Mon Mar 02 00:34:25 +0000 2020","Mon Mar 02 00:34:25 +0000 2020","https://x.com/Wendys/status/1234275836905369603","3311","30465","1279","446","47","None","en","1234275836905369603","False","browser_graphql","1781370200"
