company_name,period,source_x_handle_count,source_x_handle_list,total_posts,humor_count,humor_share,log_humor_count,humor_presence_any,humor_share_ambiguity_as_zero,humor_share_ambiguity_excluded,humor_share_ambiguity_as_missing,ambiguity_rate,high_ambiguity_flag
AT&T,2022-02,1,@ATT,1,0,0.0,0.0,0,0.0,,,1.0,1
AT&T,2023-07,1,@ATT,9,2,0.222222,1.098612,1,0.222222,0.4,0.222222,0.444444,0
AT&T,2023-08,1,@ATT,31,4,0.129032,1.609438,1,0.129032,0.266667,,0.516129,1
AT&T,2023-09,1,@ATT,25,5,0.2,1.791759,1,0.2,0.294118,0.2,0.32,0
AT&T,2023-10,1,@ATT,10,2,0.2,1.098612,1,0.2,0.333333,0.2,0.4,0
AT&T,2023-11,1,@ATT,14,0,0.0,0.0,0,0.0,0.0,,0.571429,1
AT&T,2023-12,1,@ATT,6,0,0.0,0.0,0,0.0,0.0,,0.666667,1
AT&T,2024-01,1,@ATT,28,4,0.142857,1.609438,1,0.142857,0.25,0.142857,0.428571,0
AT&T,2024-02,1,@ATT,30,8,0.266667,2.197225,1,0.266667,0.571429,,0.533333,1
AT&T,2024-03,1,@ATT,5,1,0.2,0.693147,1,0.2,0.25,0.2,0.2,0
AT&T,2024-04,1,@ATT,31,1,0.032258,0.693147,1,0.032258,0.0625,0.032258,0.483871,0
AT&T,2024-05,1,@ATT,9,5,0.555556,1.791759,1,0.555556,0.833333,0.555556,0.333333,0
AT&T,2024-06,1,@ATT,12,5,0.416667,1.791759,1,0.416667,0.714286,0.416667,0.416667,0
AT&T,2024-07,1,@ATT,22,7,0.318182,2.079442,1,0.318182,0.583333,0.318182,0.454545,0
AT&T,2024-08,1,@ATT,3,3,1.0,1.386294,1,1.0,1.0,1.0,0.0,0
AT&T,2024-09,1,@ATT,26,5,0.192308,1.791759,1,0.192308,0.294118,0.192308,0.346154,0
AT&T,2024-10,1,@ATT,10,0,0.0,0.0,0,0.0,0.0,,0.5,1
AT&T,2024-11,1,@ATT,27,3,0.111111,1.386294,1,0.111111,0.375,,0.703704,1
AT&T,2024-12,1,@ATT,26,0,0.0,0.0,0,0.0,0.0,,0.576923,1
AT&T,2025-01,1,@ATT,30,0,0.0,0.0,0,0.0,0.0,,0.533333,1
AT&T,2025-02,1,@ATT,20,4,0.2,1.609438,1,0.2,0.363636,0.2,0.45,0
AT&T,2025-03,1,@ATT,13,4,0.307692,1.609438,1,0.307692,0.5,0.307692,0.384615,0
AT&T,2025-04,1,@ATT,23,4,0.173913,1.609438,1,0.173913,0.444444,,0.608696,1
AT&T,2025-05,1,@ATT,56,8,0.142857,2.197225,1,0.142857,0.258065,0.142857,0.446429,0
AT&T,2025-06,1,@ATT,22,3,0.136364,1.386294,1,0.136364,0.5,,0.727273,1
AT&T,2025-07,1,@ATT,30,6,0.2,1.94591,1,0.2,0.352941,0.2,0.433333,0
AT&T,2025-08,1,@ATT,37,3,0.081081,1.386294,1,0.081081,0.2,,0.594595,1
AT&T,2025-09,1,@ATT,52,13,0.25,2.639057,1,0.25,0.52,,0.519231,1
AT&T,2025-10,1,@ATT,18,2,0.111111,1.098612,1,0.111111,0.153846,0.111111,0.277778,0
AT&T,2025-11,1,@ATT,20,2,0.1,1.098612,1,0.1,0.25,,0.6,1
AT&T,2025-12,1,@ATT,22,3,0.136364,1.386294,1,0.136364,0.3,,0.545455,1
AT&T,2026-01,1,@ATT,29,4,0.137931,1.609438,1,0.137931,0.25,0.137931,0.448276,0
AT&T,2026-02,1,@ATT,59,12,0.20339,2.564949,1,0.20339,0.4,0.20339,0.491525,0
AT&T,2026-03,1,@ATT,33,5,0.151515,1.791759,1,0.151515,0.333333,,0.545455,1
AT&T,2026-04,1,@ATT,75,16,0.213333,2.833213,1,0.213333,0.516129,,0.586667,1
AT&T,2026-05,1,@ATT,63,11,0.174603,2.484907,1,0.174603,0.37931,,0.539683,1
AT&T,2026-06,1,@ATT,6,0,0.0,0.0,0,0.0,0.0,,0.5,1
AbbVie,2023-09,1,@abbvie,61,1,0.016393,0.693147,1,0.016393,0.035714,,0.540984,1
AbbVie,2023-10,1,@abbvie,69,10,0.144928,2.397895,1,0.144928,0.243902,0.144928,0.405797,0
AbbVie,2023-11,1,@abbvie,32,5,0.15625,1.791759,1,0.15625,0.3125,,0.5,1
AbbVie,2023-12,1,@abbvie,27,2,0.074074,1.098612,1,0.074074,0.105263,0.074074,0.296296,0
AbbVie,2024-01,1,@abbvie,23,4,0.173913,1.609438,1,0.173913,0.266667,0.173913,0.347826,0
AbbVie,2024-02,1,@abbvie,31,2,0.064516,1.098612,1,0.064516,0.086957,0.064516,0.258065,0
AbbVie,2024-03,1,@abbvie,4,0,0.0,0.0,0,0.0,0.0,,0.5,1
AbbVie,2024-04,1,@abbvie,31,4,0.129032,1.609438,1,0.129032,0.190476,0.129032,0.322581,0
AbbVie,2024-05,1,@abbvie,22,1,0.045455,0.693147,1,0.045455,0.090909,,0.5,1
AbbVie,2024-06,1,@abbvie,51,0,0.0,0.0,0,0.0,0.0,0.0,0.431373,0
AbbVie,2024-07,1,@abbvie,36,6,0.166667,1.94591,1,0.166667,0.2,0.166667,0.166667,0
AbbVie,2024-08,1,@abbvie,9,1,0.111111,0.693147,1,0.111111,0.125,0.111111,0.111111,0
AbbVie,2024-09,1,@abbvie,48,2,0.041667,1.098612,1,0.041667,0.071429,0.041667,0.416667,0
AbbVie,2024-10,1,@abbvie,35,5,0.142857,1.791759,1,0.142857,0.208333,0.142857,0.314286,0
AbbVie,2024-11,1,@abbvie,18,1,0.055556,0.693147,1,0.055556,0.090909,0.055556,0.388889,0
AbbVie,2024-12,1,@abbvie,26,0,0.0,0.0,0,0.0,0.0,0.0,0.384615,0
AbbVie,2025-01,1,@abbvie,10,1,0.1,0.693147,1,0.1,0.125,0.1,0.2,0
AbbVie,2025-02,1,@abbvie,21,1,0.047619,0.693147,1,0.047619,0.0625,0.047619,0.238095,0
AbbVie,2025-03,1,@abbvie,14,1,0.071429,0.693147,1,0.071429,0.090909,0.071429,0.214286,0
AbbVie,2025-04,1,@abbvie,29,1,0.034483,0.693147,1,0.034483,0.05,0.034483,0.310345,0
AbbVie,2025-05,1,@abbvie,17,1,0.058824,0.693147,1,0.058824,0.111111,0.058824,0.470588,0
AbbVie,2025-06,1,@abbvie,23,3,0.130435,1.386294,1,0.130435,0.230769,0.130435,0.434783,0
AbbVie,2025-07,1,@abbvie,16,0,0.0,0.0,0,0.0,0.0,0.0,0.1875,0
AbbVie,2025-08,1,@abbvie,15,1,0.066667,0.693147,1,0.066667,0.125,0.066667,0.466667,0
AbbVie,2025-09,1,@abbvie,38,1,0.026316,0.693147,1,0.026316,0.052632,,0.5,1
AbbVie,2025-10,1,@abbvie,34,1,0.029412,0.693147,1,0.029412,0.047619,0.029412,0.382353,0
AbbVie,2025-11,1,@abbvie,20,2,0.1,1.098612,1,0.1,0.222222,,0.55,1
AbbVie,2025-12,1,@abbvie,9,0,0.0,0.0,0,0.0,0.0,,0.555556,1
AbbVie,2026-01,1,@abbvie,5,0,0.0,0.0,0,0.0,0.0,0.0,0.2,0
AbbVie,2026-02,1,@abbvie,15,1,0.066667,0.693147,1,0.066667,0.071429,0.066667,0.066667,0
AbbVie,2026-03,1,@abbvie,8,0,0.0,0.0,0,0.0,0.0,,0.625,1
AbbVie,2026-04,1,@abbvie,23,6,0.26087,1.94591,1,0.26087,0.3,0.26087,0.130435,0
AbbVie,2026-05,1,@abbvie,10,1,0.1,0.693147,1,0.1,0.125,0.1,0.2,0
AbbVie,2026-06,1,@abbvie,9,0,0.0,0.0,0,0.0,0.0,,0.666667,1
Albertsons,2018-05,1,@albertsons,1,0,0.0,0.0,0,0.0,,,1.0,1
Albertsons,2018-06,1,@albertsons,31,10,0.322581,2.397895,1,0.322581,0.588235,0.322581,0.451613,0
Albertsons,2018-07,1,@albertsons,33,7,0.212121,2.079442,1,0.212121,0.411765,0.212121,0.484848,0
Albertsons,2018-08,1,@albertsons,8,5,0.625,1.791759,1,0.625,0.714286,0.625,0.125,0
Albertsons,2018-09,1,@albertsons,6,1,0.166667,0.693147,1,0.166667,0.25,0.166667,0.333333,0
