model_id,hypothesis,dependent_variable,dv_window,dv_role,sample_filter,n_obs,n_companies,n_periods,r_squared,adjusted_r_squared,fixed_effects_used,controls_used,dropped_variables,collinearity_warning,h3_nonzero_aggressive_intensity_rows,h3_zero_share,interpretation_scope
H1a_m1p1,H1,CAR_m1_p1,"[-1,+1]",main_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m1_p1)",430,78,3,0.052705,0.020748,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H1b_m1p1,H1,CAR_m1_p1,"[-1,+1]",main_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m1_p1)",430,78,3,0.053741,0.021819,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H2a_m1p1,H2,CAR_m1_p1,"[-1,+1]",main_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m1_p1) [affiliative_share=ref]",430,78,3,0.057181,0.020656,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H2b_m1p1,H2,CAR_m1_p1,"[-1,+1]",main_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m1_p1)",430,78,3,0.051676,0.019684,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H3_m1p1,H3,CAR_m1_p1,"[-1,+1]",main_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m1_p1) [EXPLORATORY — extreme sparsity]",430,78,3,0.052285,0.017947,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,exploratory correlational — H3 has only 5 nonzero aggressive intensity rows (98.8% zero); interpret with extreme caution
H1a_lag1m_m1p1,H1,CAR_m1_p1,"[-1,+1]",main_dv,prefiling_lag_1m only,140,67,3,0.077992,-0.025273,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,1,0.9929,correlational — no causal interpretation warranted
H1a_lag3m_m1p1,H1,CAR_m1_p1,"[-1,+1]",main_dv,prefiling_lag_3m only,290,78,3,0.045725,-0.002856,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,4,0.9862,correlational — no causal interpretation warranted
H1a_samemon_m1p1,H1,CAR_m1_p1,"[-1,+1]",main_dv,same_month only (simultaneity caution),150,74,3,0.05879,-0.031178,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,4,0.9733,correlational — caution: same_month alignment carries simultaneity risk
H1a_compFE_m1p1,H1,CAR_m1_p1,"[-1,+1]",main_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m1_p1) [company FE robustness]",430,78,3,0.490968,0.36703,"target_report_year_FE, company_name_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H1a_m3p3,H1,CAR_m3_p3,"[-3,+3]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m3_p3)",430,78,3,0.049054,0.016974,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H1b_m3p3,H1,CAR_m3_p3,"[-3,+3]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m3_p3)",430,78,3,0.047772,0.015648,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H2a_m3p3,H2,CAR_m3_p3,"[-3,+3]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m3_p3) [affiliative_share=ref]",430,78,3,0.054573,0.017946,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H2b_m3p3,H2,CAR_m3_p3,"[-3,+3]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m3_p3)",430,78,3,0.049857,0.017804,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H3_m3p3,H3,CAR_m3_p3,"[-3,+3]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m3_p3) [EXPLORATORY — extreme sparsity]",430,78,3,0.050697,0.016302,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,exploratory correlational — H3 has only 5 nonzero aggressive intensity rows (98.8% zero); interpret with extreme caution
H1a_lag1m_m3p3,H1,CAR_m3_p3,"[-3,+3]",robustness_dv,prefiling_lag_1m only,140,67,3,0.073675,-0.030073,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,1,0.9929,correlational — no causal interpretation warranted
H1a_lag3m_m3p3,H1,CAR_m3_p3,"[-3,+3]",robustness_dv,prefiling_lag_3m only,290,78,3,0.047491,-0.001001,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,4,0.9862,correlational — no causal interpretation warranted
H1a_samemon_m3p3,H1,CAR_m3_p3,"[-3,+3]",robustness_dv,same_month only (simultaneity caution),150,74,3,0.049995,-0.040814,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,4,0.9733,correlational — caution: same_month alignment carries simultaneity risk
H1a_compFE_m3p3,H1,CAR_m3_p3,"[-3,+3]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m3_p3) [company FE robustness]",430,78,3,0.338512,0.177455,"target_report_year_FE, company_name_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H1a_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m5_p5)",430,78,3,0.071449,0.040124,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H1b_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m5_p5)",430,78,3,0.071161,0.039827,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H2a_m5p5,H2,CAR_m5_p5,"[-5,+5]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m5_p5) [affiliative_share=ref]",430,78,3,0.072534,0.036603,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H2b_m5p5,H2,CAR_m5_p5,"[-5,+5]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m5_p5)",430,78,3,0.071616,0.040297,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H3_m5p5,H3,CAR_m5_p5,"[-5,+5]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m5_p5) [EXPLORATORY — extreme sparsity]",430,78,3,0.072486,0.038881,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,exploratory correlational — H3 has only 5 nonzero aggressive intensity rows (98.8% zero); interpret with extreme caution
H1a_lag1m_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,prefiling_lag_1m only,140,67,3,0.089354,-0.012638,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,1,0.9929,correlational — no causal interpretation warranted
H1a_lag3m_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,prefiling_lag_3m only,290,78,3,0.067605,0.020138,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,4,0.9862,correlational — no causal interpretation warranted
H1a_samemon_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,same_month only (simultaneity caution),150,74,3,0.052768,-0.037776,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,4,0.9733,correlational — caution: same_month alignment carries simultaneity risk
H1a_compFE_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,"primary (lag1m+lag3m, join_ready_for_CAR_m5_p5) [company FE robustness]",430,78,3,0.396125,0.249095,"target_report_year_FE, company_name_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
