model_id,hypothesis,dv,window,focal_iv,beta,se_hc3,t_stat,p_value,ci_lower_95,ci_upper_95,significant_p01,significant_p05,significant_p10,n_obs,n_companies,n_periods,r_squared,adj_r_squared,fixed_effects,controls,se_type,sample_filter,iv_nonzero_n,iv_nonzero_pct,iv_min,iv_max,iv_mean,convergence_ok,note
H1a_gate6_CAR_m1_p1,H1,CAR_m1_p1,"[-1,+1]",humor_prob_mean,0.00463,0.044918,0.1031,0.9179,-0.083408,0.092667,0,0,0,430,78,3,0.0514,0.0218,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count",HC3,"prefiling_lag_1m|lag_3m, join_ready",430,100.0,0.484783,0.789377,0.619624,1,"primary H1; bounded [0,1]; 100% nonzero"
H1a_gate6_CAR_m3_p3,H1,CAR_m3_p3,"[-3,+3]",humor_prob_mean,-0.015911,0.054258,-0.2933,0.7693,-0.122254,0.090432,0,0,0,430,78,3,0.0476,0.0179,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count",HC3,"prefiling_lag_1m|lag_3m, join_ready",430,100.0,0.484783,0.789377,0.619624,1,"primary H1; bounded [0,1]; 100% nonzero"
H1a_gate6_CAR_m5_p5,H1,CAR_m5_p5,"[-5,+5]",humor_prob_mean,-0.047517,0.070903,-0.6702,0.5027,-0.186484,0.09145,0,0,0,430,78,3,0.0713,0.0423,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count",HC3,"prefiling_lag_1m|lag_3m, join_ready",430,100.0,0.484783,0.789377,0.619624,1,"primary H1; bounded [0,1]; 100% nonzero"
H1a_alias_m1p1,H1,CAR_m1_p1,"[-1,+1]",ambiguity_adjusted_humor_share,0.00463,0.044918,0.1031,0.9179,-0.083408,0.092667,0,0,0,430,78,3,0.0514,0.0218,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count",HC3,"prefiling_lag_1m|lag_3m, join_ready",430,100.0,0.484783,0.789377,0.619624,1,alias of humor_prob_mean; confirmation only; not independent finding
H1b_share_CAR_m1_p1,H1,CAR_m1_p1,"[-1,+1]",hc_humor_share,0.007172,0.014068,0.5098,0.6102,-0.020402,0.034745,0,0,0,430,78,3,0.0519,0.0222,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count",HC3,"prefiling_lag_1m|lag_3m, join_ready",287,66.74,0.0,1.0,0.148447,1,robustness
H1b_binary_CAR_m1_p1,H1,CAR_m1_p1,"[-1,+1]",hc_humor_presence_any,0.002129,0.006182,0.3443,0.7306,-0.009988,0.014246,0,0,0,430,78,3,0.0517,0.0221,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count",HC3,"prefiling_lag_1m|lag_3m, join_ready",287,66.74,0.0,1.0,0.667442,1,robustness binary
H1b_logcount_CAR_m1_p1,H1,CAR_m1_p1,"[-1,+1]",hc_log_humor_count,-0.000993,0.004673,-0.2125,0.8317,-0.010152,0.008166,0,0,0,430,78,3,0.0516,0.0219,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count",HC3,"prefiling_lag_1m|lag_3m, join_ready",287,66.74,0.0,2.995732,0.8497,1,robustness; CTRL_BASE only (no log_count in controls)
H1b_scoresum_CAR_m1_p1,H1,CAR_m1_p1,"[-1,+1]",humor_candidate_score_sum,-7e-05,0.000295,-0.2364,0.8131,-0.000648,0.000508,0,0,0,430,78,3,0.0515,0.0219,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count",HC3,"prefiling_lag_1m|lag_3m, join_ready",430,100.0,0.519974,71.684531,9.181503,1,robustness; renamed from humor_prob_sum; unbounded
H1b_share_CAR_m3_p3,H1,CAR_m3_p3,"[-3,+3]",hc_humor_share,0.013788,0.015854,0.8697,0.3845,-0.017286,0.044861,0,0,0,430,78,3,0.049,0.0193,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count",HC3,"prefiling_lag_1m|lag_3m, join_ready",287,66.74,0.0,1.0,0.148447,1,robustness
H1b_binary_CAR_m3_p3,H1,CAR_m3_p3,"[-3,+3]",hc_humor_presence_any,0.001998,0.007591,0.2633,0.7924,-0.01288,0.016876,0,0,0,430,78,3,0.0477,0.018,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count",HC3,"prefiling_lag_1m|lag_3m, join_ready",287,66.74,0.0,1.0,0.667442,1,robustness binary
