fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder,source_x_handle,source_x_url,account_role,account_index
25,Home Depot,@homedepot,1853822198630187303,Tue Nov 05 15:30:29 +0000 2024,RT @HomeDepot: The entire Home Depot family is deeply saddened by the death of our co-founder Bernie Marcus. He’s left us with an invaluabl…,https://x.com/HDCares/status/1853822198630187303,0,204,0,0,false,false,,2026-06-12T16:38:51.246868+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,@HDCares,https://x.com/HDCares,secondary,2
25,Home Depot,@homedepot,1790384967605719178,Tue May 14 14:13:34 +0000 2024,"RT @HomeDepot: Today, we announced our Q1 earnings. Thank you to our associates and partners for your dedication and hard work in deliverin…",https://x.com/HDCares/status/1790384967605719178,0,21,0,0,false,false,,2026-06-12T16:38:51.246868+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,@HDCares,https://x.com/HDCares,secondary,2
25,Home Depot,@homedepot,1790383073856512328,Tue May 14 14:06:03 +0000 2024,"Today, we announced our Q1 earnings. Thank you to our associates and partners for your dedication and hard work in delivering value and service for our customers.  #HDEarnings #WeAreHomeDepot https://t.co/e7ntySUONE https://t.co/BtVQq5eJuI",https://x.com/HDCares/status/1790383073856512328,144,21,82,8,true,false,,2026-06-12T16:38:51.246868+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,@HDCares,https://x.com/HDCares,secondary,2
25,Home Depot,@homedepot,1755290558057119754,Wed Feb 07 18:00:55 +0000 2024,"Hi Douglas, thank you for bringing this to our attention. We understand your concerns and would like to help. Please DM us with your order number, delivery address, and phone number, and we can look into this for you. -Claude",https://x.com/HDCares/status/1755290558057119754,10,3,4,0,true,false,,2026-06-12T16:38:51.246868+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,@HDCares,https://x.com/HDCares,secondary,2
25,Home Depot,@homedepot,1753557688527540334,Fri Feb 02 23:15:07 +0000 2024,"@K9Shaw Hi Douglas, thank you for bringing this to our attention. We understand your concerns and would like to help. Please DM us with your order number, delivery address, and phone number, and we can look into this for you. -Claude",https://x.com/HDCares/status/1753557688527540334,20,3,9,0,true,false,,2026-06-12T16:38:51.246868+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,@HDCares,https://x.com/HDCares,secondary,2
25,Home Depot,@homedepot,1732429760825893167,Wed Dec 06 16:00:16 +0000 2023,"RT @HomeDepot: Today, we released our 2022 Economic Impact Project created in collaboration with @PwC. This report shows the impact Home De…",https://x.com/HDCares/status/1732429760825893167,0,22,0,0,false,false,,2026-06-12T16:38:51.246868+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,@HDCares,https://x.com/HDCares,secondary,2
25,Home Depot,@homedepot,1732427959493959926,Wed Dec 06 15:53:07 +0000 2023,"Today, we released our 2022 Economic Impact Project created in collaboration with @PwC. This report shows the impact Home Depot had on the economies and communities that we live and work in through our 2022 fiscal year.

Learn more at https://t.co/XZzeimWskS https://t.co/FHmoy4Zv5B",https://x.com/HDCares/status/1732427959493959926,58,22,70,3,true,false,,2026-06-12T16:38:51.246868+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,@HDCares,https://x.com/HDCares,secondary,2
25,Home Depot,@homedepot,1723351192149889230,Sat Nov 11 14:45:17 +0000 2023,"RT @HomeDepotFound: Happy #VeteransDay to our nation’s heroes 🇺🇸 Today and every day, we are grateful for each of you and all you've done f…",https://x.com/HDCares/status/1723351192149889230,0,18,0,0,false,false,,2026-06-12T16:38:51.246868+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,@HDCares,https://x.com/HDCares,secondary,2
25,Home Depot,@homedepot,1723324724866920612,Sat Nov 11 13:00:06 +0000 2023,"Happy #VeteransDay to our nation’s heroes 🇺🇸 Today and every day, we are grateful for each of you and all you've done for our country. https://t.co/t7R8qIlAAS",https://x.com/HDCares/status/1723324724866920612,91,18,95,1,true,false,,2026-06-12T16:38:51.246868+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,@HDCares,https://x.com/HDCares,secondary,2
25,Home Depot,@homedepot,1684605888370188288,Thu Jul 27 16:45:16 +0000 2023,"RT @HomeDepot: In 2022, we continued strong progress in reinforcing our pillars: taking care of our people, operating sustainably, and stre…",https://x.com/HDCares/status/1684605888370188288,0,20,0,0,false,false,,2026-06-12T16:38:51.246868+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,@HDCares,https://x.com/HDCares,secondary,2
