fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder,source_x_handle,source_x_url,account_role,account_index
25,Home Depot,@homedepot,2065933592992104936,Sat Jun 13 23:05:26 +0000 2026,"Los Angeles brought the energy for the @USMNT opening match at @FIFAWorldCup 2026™ ⚽️🔥

Be sure to stop by Beckham’s Backyard at select FIFA Fan Festivals™ and FIFA Stadium Fan Experiences across North America to join in on the fun.

We’re proud to be an Official FIFA World Cup 2026™ Supporter.",https://x.com/homedepot/status/2065933592992104936,0,3,6,0,true,false,,2026-06-14T02:12:23.119336+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065774556581617822,Sat Jun 13 12:33:29 +0000 2026,"RT @HomeDepot: @FreddyLA7 If you'd like to take a 12 ft skeleton back home, we'll figure out shipping for you.",https://x.com/homedepot/status/2065774556581617822,0,47,0,0,false,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065602964073435601,Sat Jun 13 01:11:38 +0000 2026,https://t.co/l7UBXPrkYQ,https://x.com/homedepot/status/2065602964073435601,0,3,6,0,true,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065576454696394849,Fri Jun 12 23:26:18 +0000 2026,"As the @FIFAWorldCup 2026™ gets underway, we stopped in to make sure some of our home team was ready to support the @usmnt ⚽🧡

We’re proud to be an Official FIFA World Cup 2026™ Supporter. https://t.co/y6RJwfSxZn",https://x.com/homedepot/status/2065576454696394849,0,0,9,0,true,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065537445748170961,Fri Jun 12 20:51:17 +0000 2026,"RT @HomeDepot: In celebration of @USMNT at the @FIFAWorldCup 2026™ U.S. opener, we’re supporting @bgca_clubs in Los Angeles with a $250,000…",https://x.com/homedepot/status/2065537445748170961,0,1,0,0,false,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065520694440366212,Fri Jun 12 19:44:43 +0000 2026,"@FreddyLA7 If you'd like to take a 12 ft skeleton back home, we'll figure out shipping for you.",https://x.com/homedepot/status/2065520694440366212,59,47,2608,8,true,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065509442339168504,Fri Jun 12 19:00:01 +0000 2026,"Getting ready to support the Stars and Stripes, the Home Depot way 🎨 Excited to cheer on @USMNT in the @FIFAWorldCup 2026™ ⚽️

We’re proud to be an Official FIFA World Cup 2026™ Supporter. https://t.co/fS1PYmInev",https://x.com/homedepot/status/2065509442339168504,0,3,10,0,true,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065488037639856343,Fri Jun 12 17:34:57 +0000 2026,"In celebration of @USMNT at the @FIFAWorldCup 2026™ U.S. opener, we’re supporting @bgca_clubs in Los Angeles with a $250,000 donation to help create more opportunities and programs for Boys &amp; Girls Club youth.

We’re proud to be an Official FIFA World Cup 2026™ Supporter. https://t.co/KYDO6JDSTX",https://x.com/homedepot/status/2065488037639856343,2,1,8,0,true,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065453509160403297,Fri Jun 12 15:17:45 +0000 2026,Stop by FIFA Fan Festival™ at @LosAngelesFWC26 to experience Beckham's Backyard before the @USMNT opener. https://t.co/B60rEK1l0p,https://x.com/homedepot/status/2065453509160403297,4,1,8,0,true,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065169954907840960,Thu Jun 11 20:31:00 +0000 2026,"RT @HomeDepot: European friends, consider this your official invitation to experience a true American classic: a Home Depot hot dog after c…",https://x.com/homedepot/status/2065169954907840960,0,5,0,0,false,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065089146566107429,Thu Jun 11 15:09:54 +0000 2026,"European friends, consider this your official invitation to experience a true American classic: a Home Depot hot dog after completing your third trip back to the store of the weekend 🌭🧡 https://t.co/rX7qmS4Twe",https://x.com/homedepot/status/2065089146566107429,8,5,9,0,true,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065051657000435809,Thu Jun 11 12:40:56 +0000 2026,"RT @MenInBlazers: CITY FUTSAL: A PILLAR OF THE GRASSROOTS GAME IN TEXAS ❤️

Meet the Mariel Brothers who are committed to building spaces t…",https://x.com/homedepot/status/2065051657000435809,0,3,0,0,true,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2064834105519514060,Wed Jun 10 22:16:28 +0000 2026,"CITY FUTSAL: A PILLAR OF THE GRASSROOTS GAME IN TEXAS ❤️

Meet the Mariel Brothers who are committed to building spaces to play the beautiful game throughout North Texas.

Our final edition of DIY FC, presented by @HomeDepot, brings us to Dallas, where this family business has made an incredible impact to make the soccer more accessible for players of all ages with their state-of-the-art futsal facilities.",https://x.com/homedepot/status/2064834105519514060,1,3,24,1,true,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2064391186773688757,Tue Jun 09 16:56:28 +0000 2026,RT @experiencecosm: We're proud to welcome @HomeDepot as the Exclusive Home Improvement Retail Sponsor of our FIFA World Cup 2026™ presenta…,https://x.com/homedepot/status/2064391186773688757,0,8,0,0,false,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2064385906459685301,Tue Jun 09 16:35:29 +0000 2026,"We're proud to welcome @HomeDepot as the Exclusive Home Improvement Retail Sponsor of our FIFA World Cup 2026™ presentations, bringing even more fan experiences to #SharedReality across 40 matches, including the Final.

The road to the FIFA World Cup 2026™ starts at Cosm. https://t.co/fmTlIND2E6",https://x.com/homedepot/status/2064385906459685301,7,8,15,0,true,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2063995888213565843,Mon Jun 08 14:45:41 +0000 2026,"RT @MenInBlazers: THE GAME NEVER LEAVES YOU ⚽️❤️

Meet Peter Mogg, the commissioner of Los Angeles' Over 60 Sunday soccer league. A league…",https://x.com/homedepot/status/2063995888213565843,0,6,0,0,false,false,,2026-06-13T20:11:59.039126+00:00,incremental browser-based collection of observable public posts,0,/home/runner/work/x_scrapper/x_scrapper/data/raw/fortune_x_2025_ranked/025_home_depot,@homedepot,https://x.com/homedepot,primary,1
