fortune_rank,company_name,official_x_handle,source_x_handle,source_x_url,account_role,account_index,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1999471075168780792,Fri Dec 12 13:27:07 +0000 2025,RT @EnergySPG: Huge congratulations to @ValeroEnergy on winning the Commercial Technology of the Year award. Your market-ready innovation i…,https://x.com/valeroenergy/status/1999471075168780792,0,1,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1999304462502924772,Fri Dec 12 02:25:03 +0000 2025,Huge congratulations to @ValeroEnergy on winning the Commercial Technology of the Year award. Your market-ready innovation is already making a measurable impact across the energy value chain. https://t.co/gSnlgdrdgP,https://x.com/valeroenergy/status/1999304462502924772,4,1,4,0,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1997753801928044626,Sun Dec 07 19:43:17 +0000 2025,"RT @valeroalamobowl: The 2025 #ValeroAlamoBowl is set!

#16 @uscfb vs. @TCUFootball 

📅: Tuesday, December 30
⏰: 8:00PM CT
📺: ESPN
📍: Alamo…",https://x.com/valeroenergy/status/1997753801928044626,0,237,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1997752849510637721,Sun Dec 07 19:39:30 +0000 2025,"The 2025 #ValeroAlamoBowl is set!

#16 @uscfb vs. @TCUFootball 

📅: Tuesday, December 30
⏰: 8:00PM CT
📺: ESPN
📍: Alamodome | San Antonio, TX https://t.co/jqbM8o3mif",https://x.com/valeroenergy/status/1997752849510637721,46,237,1540,30,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1994077884370059606,Thu Nov 27 16:16:30 +0000 2025,"RT @valeroalamobowl: Thankful for family, food, and great football 🦃

From our #ValeroAlamoBowl family to yours, Happy Thanksgiving! https:…",https://x.com/valeroenergy/status/1994077884370059606,0,1,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1994077550230884418,Thu Nov 27 16:15:10 +0000 2025,"Thankful for family, food, and great football 🦃

From our #ValeroAlamoBowl family to yours, Happy Thanksgiving! https://t.co/88Tlhfq3TH",https://x.com/valeroenergy/status/1994077550230884418,0,1,10,0,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1992620801988886793,Sun Nov 23 15:46:34 +0000 2025,"RT @valeroalamobowl: Quick hands aren’t just for the football field!🏈

To celebrate the 33rd #ValeroAlamoBowl, we put San Antonio’s skills…",https://x.com/valeroenergy/status/1992620801988886793,0,1,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1992618893156974963,Sun Nov 23 15:38:59 +0000 2025,"Quick hands aren’t just for the football field!🏈

To celebrate the 33rd #ValeroAlamoBowl, we put San Antonio’s skills to the test with the Perfect Pump Challenge: stop your pump at exactly $33.33 and walk away a winner⛽️ https://t.co/vCqDPL5zzZ",https://x.com/valeroenergy/status/1992618893156974963,0,1,7,0,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1938637953364107634,Fri Jun 27 16:38:00 +0000 2025,"RT @12thMan: Turning highlights into help 🤝

Points that made an impact on the field — and now in the community, thanks to @ValeroEnergy 👍…",https://x.com/valeroenergy/status/1938637953364107634,0,4,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1938637927971533155,Fri Jun 27 16:37:54 +0000 2025,"RT @12thMan: Making every point count 📈

@ValeroEnergy has donated $20,000 to Habitat for Humanity through Points of Impact from our footba…",https://x.com/valeroenergy/status/1938637927971533155,0,7,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1938637558591996207,Fri Jun 27 16:36:26 +0000 2025,"Making every point count 📈

@ValeroEnergy has donated $20,000 to Habitat for Humanity through Points of Impact from our football and basketball teams!

#GigEm https://t.co/J62w8igWsV",https://x.com/valeroenergy/status/1938637558591996207,0,7,74,0,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1938630785545748847,Fri Jun 27 16:09:31 +0000 2025,"Turning highlights into help 🤝

Points that made an impact on the field — and now in the community, thanks to @ValeroEnergy 👍

#GigEm https://t.co/rlKdjhOQ18",https://x.com/valeroenergy/status/1938630785545748847,1,4,69,2,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1907911269199524167,Thu Apr 03 21:41:08 +0000 2025,"A special moment at the @valerotxopen! ⛳️ 

10-year-old Katherine met defending champ @akshaybhatia_1 for an unforgettable experience!",https://x.com/valeroenergy/status/1907911269199524167,2,3,2,0,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1907911064542654952,Thu Apr 03 21:40:19 +0000 2025,"RT @PGATOUR: A special day in San Antonio ❤️

10-year-old Katherine, who struggles with hearing loss, got a chance to spend time with defen…",https://x.com/valeroenergy/status/1907911064542654952,0,37,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1907885830787469412,Thu Apr 03 20:00:03 +0000 2025,"A special day in San Antonio ❤️

10-year-old Katherine, who struggles with hearing loss, got a chance to spend time with defending champion @AkshayBhatia_1 this week @ValeroTXOpen. https://t.co/xrx3kQsa3T",https://x.com/valeroenergy/status/1907885830787469412,29,37,784,7,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1904934699400577308,Wed Mar 26 16:33:18 +0000 2025,"RT @valeroalamobowl: 🚨#𝟐 𝐄𝐂𝐎𝐍𝐎𝐌𝐈𝐂 𝐈𝐌𝐏𝐀𝐂𝐓 𝐀𝐋𝐋-𝐓𝐈𝐌𝐄🚨

The 2024 #ValeroAlamoBowl generated $59M for San Antonio and brought 44,909 visitors to…",https://x.com/valeroenergy/status/1904934699400577308,0,74,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1904934039825379375,Wed Mar 26 16:30:41 +0000 2025,"🚨#𝟐 𝐄𝐂𝐎𝐍𝐎𝐌𝐈𝐂 𝐈𝐌𝐏𝐀𝐂𝐓 𝐀𝐋𝐋-𝐓𝐈𝐌𝐄🚨

The 2024 #ValeroAlamoBowl generated $59M for San Antonio and brought 44,909 visitors to town. A big thank you to @byufootball and @cubuffsfootball and their fantastic fans! https://t.co/JQPGTtIezn",https://x.com/valeroenergy/status/1904934039825379375,9,74,793,5,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1867622950687457323,Fri Dec 13 17:29:44 +0000 2024,RT @SA_Sports: We love seeing all the ways that athletic teams can make a difference away from the field or court. @SA_Sports &amp; @ValeroEner…,https://x.com/valeroenergy/status/1867622950687457323,0,4,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1867358775201738924,Fri Dec 13 00:00:00 +0000 2024,We love seeing all the ways that athletic teams can make a difference away from the field or court. @SA_Sports &amp; @ValeroEnergy applaud @softballbrennan &amp; @SWDragonsFB for going #BeyondtheGame and serving their communities! https://t.co/wL7xAm19Ae,https://x.com/valeroenergy/status/1867358775201738924,1,4,15,0,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1806707116717039633,Fri Jun 28 15:11:58 +0000 2024,RT @txbiomed: We are excited to welcome 39 high school students to the inaugural @ValeroEnergy Young Scientist Program at Texas Biomed. The…,https://x.com/valeroenergy/status/1806707116717039633,0,4,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1806659133204000924,Fri Jun 28 12:01:18 +0000 2024,"We are excited to welcome 39 high school students to the inaugural @ValeroEnergy Young Scientist Program at Texas Biomed. The students are getting hands-on lab experience and will also learn about science careers, communication &amp; networking skills.
#STEMeducation #SATX https://t.co/fPJEvHyl5U",https://x.com/valeroenergy/status/1806659133204000924,9,4,18,0,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1750251081496494127,Wed Jan 24 20:15:50 +0000 2024,RT @txbiomed: Hey #SATX high schoolers! We are excited to announce #txbiomed has created a new summer #science program just for you. The Va…,https://x.com/valeroenergy/status/1750251081496494127,0,5,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1749861808079265906,Tue Jan 23 18:29:00 +0000 2024,"Hey #SATX high schoolers! We are excited to announce #txbiomed has created a new summer #science program just for you. The Valero Young Scientist Program will offer hands-on experience in biomedical research. @ValeroEnergy

Learn more👉 https://t.co/lszp0NWGHd

#STEM #SanAntonio https://t.co/CYIFkjXfDh",https://x.com/valeroenergy/status/1749861808079265906,5,5,8,0,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1747716708008345731,Wed Jan 17 20:25:08 +0000 2024,RT @OU_CBME: Come to chat with @ValeroEnergy engineers from their Ardmore OK refinery and attend a tech talk about about the daily routine…,https://x.com/valeroenergy/status/1747716708008345731,0,2,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1746649057853120928,Sun Jan 14 21:42:41 +0000 2024,Come to chat with @ValeroEnergy engineers from their Ardmore OK refinery and attend a tech talk about about the daily routine of process engineers. Hosted by the OU student chapter of @ChEnected on January 22!! https://t.co/mryUOhS2nT,https://x.com/valeroenergy/status/1746649057853120928,1,2,3,0,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1743013926197920223,Thu Jan 04 20:57:58 +0000 2024,RT @PTOCarrillo: Huge thanks to Sara Montelongo Oyervidez from @ValeroEnergy Valero Houston Refinery for spreading holiday cheer to @Carril…,https://x.com/valeroenergy/status/1743013926197920223,0,3,0,0,false,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1742957541200429379,Thu Jan 04 17:13:55 +0000 2024,Congratulations!,https://x.com/valeroenergy/status/1742957541200429379,1,2,4,0,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
40,Valero Energy,@valeroenergy,@valeroenergy,https://x.com/valeroenergy,primary,1,1740852524842950790,Fri Dec 29 21:49:20 +0000 2023,"I won $1,000 for my students!!!!!! Second touchdown! Thank you @ValeroEnergy @valeroalamobowl  @espn 

I'm so grateful I was 1 of the 10 teachers at the Valero Bowl touchdown for teachers!

@RootEdSA @NisdBILESL @NISDCNE @NISD 
@NISDCNE @NISD_grants https://t.co/TzFEfRleEi",https://x.com/valeroenergy/status/1740852524842950790,2,2,30,3,true,false,,2026-06-12T14:29:54.950814+00:00,browser-based scroll-exhaustion collection of observable public posts,30,040_valero_energy
