fortune_rank,company_name,official_x_handle,source_x_handle,source_x_url,account_role,account_index,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder
42,Target,@target,@target,https://x.com/target,primary,1,1620513701777530880,Tue Jan 31 20:05:48 +0000 2023,"RT @TargetNews: Following an incident in our Omaha West store, we can confirm that all guests and team members safely evacuated the store.…",https://x.com/target/status/1620513701777530880,0,176,0,0,true,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1620513182229102604,Tue Jan 31 20:03:44 +0000 2023,"Following an incident in our Omaha West store, we can confirm that all guests and team members safely evacuated the store. The store will remain closed until further notice. We are partnering with the Omaha PD as we learn more. Our statement: https://t.co/SmWDXvhWQ6",https://x.com/target/status/1620513182229102604,7048,176,1229,96,true,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1587110230671953922,Mon Oct 31 15:52:20 +0000 2022,I wanted to dress up as something scary this year so I’m going as a self-checkout camera #HappyHalloween,https://x.com/target/status/1587110230671953922,2217,279,1027,72,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1585661021951246339,Thu Oct 27 15:53:42 +0000 2022,halloween idea from ours to yours ❤️ https://t.co/j3732jzGKF,https://x.com/target/status/1585661021951246339,767,479,5682,73,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1585298343303020551,Wed Oct 26 15:52:33 +0000 2022,adult trick-or-treating aka going to 3 targets in one night,https://x.com/target/status/1585298343303020551,363,232,1516,37,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1584930630265102336,Tue Oct 25 15:31:23 +0000 2022,picture this: a haunted Target where the jump scares are just acquaintances from your high school,https://x.com/target/status/1584930630265102336,304,1958,20262,664,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1584580354551209985,Mon Oct 24 16:19:31 +0000 2022,You don’t have to go to Chicago to visit #GothTarget anymore. Visit Goth Target in Meta Horizon Worlds now: https://t.co/7GIW0ugrEs https://t.co/Cssdq4QYcQ,https://x.com/target/status/1584580354551209985,274,108,601,26,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1583494535711449088,Fri Oct 21 16:24:51 +0000 2022,look at that lavender haze,https://x.com/target/status/1583494535711449088,131,96,853,5,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1583464992250425344,Fri Oct 21 14:27:28 +0000 2022,@Target I got mine this morning!! 🥰💜 #TSmidnighTS #onlyattarget @taylorswift13 @taylornation13 @Target https://t.co/N2TGcLYAM6,https://x.com/target/status/1583464992250425344,6,4,78,1,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1583443866933510144,Fri Oct 21 13:03:31 +0000 2022,October 21st hits different 💜🔥 Shop Taylor Swift's new album Midnights the Target Exclusive Edition CD that includes 3 bonus tracks #OnlyAtTarget now: https://t.co/4cRIp7K6uw #TSmidnighTS https://t.co/62B5s4iRLp,https://x.com/target/status/1583443866933510144,416,1329,13564,153,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1581909500617003015,Mon Oct 17 07:26:30 +0000 2022,show me your pet and I'll reply with a costume idea 👻,https://x.com/target/status/1581909500617003015,686,45,858,6,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1581306553159847941,Sat Oct 15 15:30:36 +0000 2022,Have a question for one of the NEWEST Super Heroes in Marvel Studios’ Black Panther: #WakandaForever? Reply below for a chance to have your q answered on an upcoming #WakandaForever #TargetLIVE. See the film in theaters November 11. #MCUTargetLIVE https://t.co/qGbfUogqae,https://x.com/target/status/1581306553159847941,134,64,219,7,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1580936487163633667,Fri Oct 14 15:00:05 +0000 2022,"if target was a halloween costume, what would it be?",https://x.com/target/status/1580936487163633667,418,39,601,43,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1580930824911790080,Fri Oct 14 14:37:35 +0000 2022,"SCREAMING, CRYING",https://x.com/target/status/1580930824911790080,120,548,8061,34,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1580674230210789376,Thu Oct 13 21:37:58 +0000 2022,"RT @Adweek: In Black Panther: Wakanda Forever, Dominique Thorne plays Riri Williams—a.k.a. Ironheart.

But before the film hits box offices…",https://x.com/target/status/1580674230210789376,0,28,0,0,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
42,Target,@target,@target,https://x.com/target,primary,1,1580673671693488128,Thu Oct 13 21:35:45 +0000 2022,"In Black Panther: Wakanda Forever, Dominique Thorne plays Riri Williams—a.k.a. Ironheart.

But before the film hits box offices on Nov. 11, fans can catch a glimpse of Riri in action in a new ad for @Target.  https://t.co/HMkBFdAlfa https://t.co/uQQ3j0JB4p",https://x.com/target/status/1580673671693488128,24,28,118,6,false,false,,2026-06-12T14:29:44.902432+00:00,browser-based scroll-exhaustion collection of observable public posts,30,042_target
