fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder,source_x_handle,source_x_url,account_role,account_index
48,UPS,@ups,2065097881632301072,Thu Jun 11 15:44:37 +0000 2026,We’re trending AND delivering.,https://x.com/ups/status/2065097881632301072,8,8,60,0,true,false,,2026-06-12T16:52:23.203936+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/048_ups/accounts/01_primary_ups,@ups,https://x.com/ups,primary,1
48,UPS,@ups,2064921578517786953,Thu Jun 11 04:04:03 +0000 2026,Massive crowd on the Upper West Side starts chanting “UPS” simply because a UPS truck pulls up #GoKnicks https://t.co/oCO0iJwicn,https://x.com/ups/status/2064921578517786953,122,1985,33053,412,true,false,,2026-06-12T16:52:23.203936+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/048_ups/accounts/01_primary_ups,@ups,https://x.com/ups,primary,1
48,UPS,@ups,2064385533376156013,Tue Jun 09 16:34:00 +0000 2026,Packages weren't the only thing delivered. https://t.co/eoPydDrtLo,https://x.com/ups/status/2064385533376156013,13,6,26,2,true,false,,2026-06-12T16:52:23.203936+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/048_ups/accounts/01_primary_ups,@ups,https://x.com/ups,primary,1
48,UPS,@ups,2064033467231240566,Mon Jun 08 17:15:01 +0000 2026,"Need the easy button for logistics? We’re on it. 🤜🤛

We’re investing $50M in our network and adding a new time-definite heavy air freight service to and from Mexico to help automotive and industrial customers move faster, simplify cross-border shipping and keep production on track.
https://t.co/83X91erHFr",https://x.com/ups/status/2064033467231240566,18,2,10,0,true,false,,2026-06-12T16:52:23.203936+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/048_ups/accounts/01_primary_ups,@ups,https://x.com/ups,primary,1
48,UPS,@ups,2062582150646419458,Thu Jun 04 17:08:00 +0000 2026,"Growth doesn’t wait. Shipping can’t either. 📦

That's why we built a shipping approach for @Weathertech with:
- clearer pricing
- simpler day-to-day shipping
- solutions built to scale

See how we help customers grow: https://t.co/pS3GNWXF5X
📸 John Harvey https://t.co/EmpMdaavo8",https://x.com/ups/status/2062582150646419458,26,0,15,0,true,false,,2026-06-12T16:52:23.203936+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/048_ups/accounts/01_primary_ups,@ups,https://x.com/ups,primary,1
48,UPS,@ups,2062203659434258859,Wed Jun 03 16:04:00 +0000 2026,"When the rules shift, our network shifts faster. 💨

New regulations forced @AudienHearing to rethink how products move. Our UPS Customer Solutions team jumped in with an end-to-end supply chain reset, helping Audien navigate disruption, protect service and manage costs.

Watch the video to see how we helped Audien beat uncertainty. https://t.co/Yk92xXdRto",https://x.com/ups/status/2062203659434258859,11,2,9,0,true,false,,2026-06-12T16:52:23.203936+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/048_ups/accounts/01_primary_ups,@ups,https://x.com/ups,primary,1
48,UPS,@ups,2061860144317649209,Tue Jun 02 17:19:00 +0000 2026,"🚨🚨Don’t miss our global supply chain update 🚨🚨
Learn more here: https://t.co/R4ouPx1tMg https://t.co/KeJS8vMd3m",https://x.com/ups/status/2061860144317649209,6,0,14,0,true,false,,2026-06-12T16:52:23.203936+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/048_ups/accounts/01_primary_ups,@ups,https://x.com/ups,primary,1
48,UPS,@ups,2061092084388368574,Sun May 31 14:27:00 +0000 2026,"Soft launching summer 😎 
#UPSOfficeViews 📍Chicago https://t.co/fQVxDWO1Xe",https://x.com/ups/status/2061092084388368574,12,6,30,0,true,false,,2026-06-12T16:52:23.203936+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/048_ups/accounts/01_primary_ups,@ups,https://x.com/ups,primary,1
48,UPS,@ups,2060781287623762257,Sat May 30 17:52:01 +0000 2026,"Take a moment for yourself today and try this box breathing exercise with us. 🤎💛🤎
#MentalHealthAwarenessMonth https://t.co/iiRGFI9Sz3",https://x.com/ups/status/2060781287623762257,9,0,12,0,true,false,,2026-06-12T16:52:23.203936+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/048_ups/accounts/01_primary_ups,@ups,https://x.com/ups,primary,1
48,UPS,@ups,2060365100544831912,Fri May 29 14:18:14 +0000 2026,"RT @UPS_News: UPS Invests $50 Million to Transform Logistics for North American Automotive and Industrial Manufacturers, Launches Air Freig…",https://x.com/ups/status/2060365100544831912,0,3,0,0,false,false,,2026-06-12T16:52:23.203936+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/048_ups/accounts/01_primary_ups,@ups,https://x.com/ups,primary,1
