fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder
64,Allstate,@allstate,1805973221767888980,Wed Jun 26 14:35:44 +0000 2024,"RT @USChamber: $1 spent in disaster preparedness = $13 saved in economic and cleanup costs. 💪 

Out now: Our partnership with @Allstate and…",https://x.com/allstate/status/1805973221767888980,0,17,0,0,true,false,,2026-06-12T11:26:44.005047+00:00,capped browser-based collection of observable public posts,50,064_allstate
64,Allstate,@allstate,1805972933396816176,Wed Jun 26 14:34:35 +0000 2024,"RT @USChamber: New: We're partnering with @Allstate and the @USCCFoundation on disaster resilience.

For every $1 spent in disaster prep, c…",https://x.com/allstate/status/1805972933396816176,0,11,0,0,true,false,,2026-06-12T11:26:44.005047+00:00,capped browser-based collection of observable public posts,50,064_allstate
64,Allstate,@allstate,1805672056069005434,Tue Jun 25 18:39:00 +0000 2024,"$1 spent in disaster preparedness = $13 saved in economic and cleanup costs. 💪 

Out now: Our partnership with @Allstate and the @USCCFoundation details how investments in resilience benefits families, communities, businesses, and more! https://t.co/USKxvz7XJC",https://x.com/allstate/status/1805672056069005434,1343,17,40,7,true,false,,2026-06-12T11:26:44.005047+00:00,capped browser-based collection of observable public posts,50,064_allstate
64,Allstate,@allstate,1805585870000455895,Tue Jun 25 12:56:32 +0000 2024,"New: We're partnering with @Allstate and the @USCCFoundation on disaster resilience.

For every $1 spent in disaster prep, communities save $13 in economic savings, damages and cleanup costs. “This important study helps identify opportunities to reduce the economic costs of natural disasters, including job loss, lost income, reduced economic activity, and loss of workforce.” https://t.co/GjobpOsRNR",https://x.com/allstate/status/1805585870000455895,254,11,17,4,true,false,,2026-06-12T11:26:44.005047+00:00,capped browser-based collection of observable public posts,50,064_allstate
64,Allstate,@allstate,1797705401607262348,Mon Jun 03 19:02:22 +0000 2024,"RT @USChamber: Tomorrow! Join us downtown for our Sustainability and Circular Economy Summit ♻️

RSVP: https://t.co/BJ6L0x7ZRQ",https://x.com/allstate/status/1797705401607262348,0,6,0,0,true,false,,2026-06-12T11:26:44.005047+00:00,capped browser-based collection of observable public posts,50,064_allstate
64,Allstate,@allstate,1797653651533541504,Mon Jun 03 15:36:43 +0000 2024,RT @PointsofLight: June marks the official start of hurricane season. It's essential for corporate leaders to develop response strategies a…,https://x.com/allstate/status/1797653651533541504,0,4,0,0,true,false,,2026-06-12T11:26:44.005047+00:00,capped browser-based collection of observable public posts,50,064_allstate
64,Allstate,@allstate,1797640329405096369,Mon Jun 03 14:43:47 +0000 2024,"Tomorrow! Join us downtown for our Sustainability and Circular Economy Summit ♻️

RSVP: https://t.co/BJ6L0x7ZRQ",https://x.com/allstate/status/1797640329405096369,76,6,13,2,true,false,,2026-06-12T11:26:44.005047+00:00,capped browser-based collection of observable public posts,50,064_allstate
64,Allstate,@allstate,1797628495721300264,Mon Jun 03 13:56:46 +0000 2024,June marks the official start of hurricane season. It's essential for corporate leaders to develop response strategies and engage employees in #disasterresponse efforts. Check out this resource we created in partnership with the @Allstate Foundation: https://t.co/9pAdlydWKV https://t.co/q0TRt5ulPO,https://x.com/allstate/status/1797628495721300264,40,4,8,1,true,false,,2026-06-12T11:26:44.005047+00:00,capped browser-based collection of observable public posts,50,064_allstate
64,Allstate,@allstate,1795947280169644200,Wed May 29 22:36:13 +0000 2024,"♻️ The @USChamber's 2nd annual Sustainability &amp; Circular Economy Summit. 

🕰️ When? Tuesday, June 4

✔️ Join us: https://t.co/yl64T3Fgqx https://t.co/QyzBldqFSD",https://x.com/allstate/status/1795947280169644200,9,1,1,1,true,false,,2026-06-12T11:26:44.005047+00:00,capped browser-based collection of observable public posts,50,064_allstate
64,Allstate,@allstate,1790126298947358923,Mon May 13 21:05:43 +0000 2024,Have you heard of Drivewise? It's located in our Allstate app. We recently found out that customers who choose to use Drivewise are 25% less likely to have a severe collision than those who don't.  https://t.co/HNMxg3hVAZ,https://x.com/allstate/status/1790126298947358923,600,10,21,10,true,false,,2026-06-12T11:26:44.005047+00:00,capped browser-based collection of observable public posts,50,064_allstate
