fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder,source_x_handle,source_x_url,account_role,account_index
66,IBM,@ibm,2065464753229627444,Fri Jun 12 16:02:26 +0000 2026,"@LDNTechWeek @techUK Overall, a great week 👏

We'll see you next year!",https://x.com/ibm/status/2065464753229627444,0,0,2,0,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2065464748154491311,Fri Jun 12 16:02:25 +0000 2026,"@LDNTechWeek We hosted a fantastic reception with @techUK, bringing together voices from across the industry to celebrate innovation, collaboration and the future of the UK tech ecosystem. https://t.co/MO5CpFOeDP",https://x.com/ibm/status/2065464748154491311,1,1,3,0,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2065464660736815317,Fri Jun 12 16:02:04 +0000 2026,"As @LDNTechWeek comes to a close, we're reflecting on a week of conversations focused on helping the UK realise its AI ambitions.

Check out some of the highlights below. 🧵 https://t.co/snOSYm4Ok2",https://x.com/ibm/status/2065464660736815317,5,1,12,0,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2064741353859187034,Wed Jun 10 16:07:54 +0000 2026,"RT @fastcompanyme: #InTheNews: @DubaiFuture Foundation, in collaboration with @IBM Institute for Business Value, has launched a new global…",https://x.com/ibm/status/2064741353859187034,0,7,0,0,false,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2064739375095918703,Wed Jun 10 16:00:02 +0000 2026,"#InTheNews: @DubaiFuture Foundation, in collaboration with @IBM Institute for Business Value, has launched a new global study titled ""Orchestrating AI at Scale for Sovereignty and Resilience"", highlighting the UAE's strong position in adopting AI orchestration platforms and its ability to outpace many global peers.

His Excellency Khalfan Belhoul, CEO of the Dubai Future Foundation, said: “The UAE’s early efforts to advance AI across sectors reflect its national vision to build a resilient, future-ready digital economy. In a rapidly evolving global and regional landscape, the ability to scale AI confidently while maintaining stability and continuity will be key to sustaining growth and reinforcing the UAE’s position as a global leader in advanced technologies.”

Saad Toma, General Manager of IBM Middle East and Africa, said: “Organizations can no longer have fragmented AI systems that limit visibility, weaken control, and erode value. Orchestration-led AI adoption provides the visibility, control, and coordination needed to maintain operational stability, reduce risk, and ensure AI continues to deliver value.”

The study found that organizations are continuing to increase their investments in AI, with nearly two-thirds of organizations in both the UAE (68%) and globally (67%) expected to adopt AI systems at scale by 2030. The findings underscore the growing importance of greater control, visibility, and accountability in AI deployment.

According to the report, organizations that adopt integrated, capability-driven AI governance models are better positioned to scale AI initiatives, improve performance, and generate stronger returns on investment. Some organizations reported productivity gains from AI initiatives that were up to six times greater than those achieved through more traditional approaches.

(Source Photo: Government of Dubai Media Office)",https://x.com/ibm/status/2064739375095918703,2,7,7,0,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2064733657454035017,Wed Jun 10 15:37:19 +0000 2026,https://t.co/A2IqcfPavU,https://x.com/ibm/status/2064733657454035017,6,12,38,7,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2064360903517016280,Tue Jun 09 14:56:08 +0000 2026,"RT @IBMDeveloper: Build AI agents and MCP tools in watsonx Orchestrate using IBM Bob. 🏗️

In this walkthrough, Ahmed Azraq shows how to bui…",https://x.com/ibm/status/2064360903517016280,0,5,0,0,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2064360540722311570,Tue Jun 09 14:54:41 +0000 2026,"RT @VivaTech: 112 years in France and still calculating what’s next⚡

@IBM is bringing AI, Sovereign Core, IBM Bob, Quantum, and immersive…",https://x.com/ibm/status/2064360540722311570,0,5,0,0,false,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2064360140728418784,Tue Jun 09 14:53:06 +0000 2026,"Build AI agents and MCP tools in watsonx Orchestrate using IBM Bob. 🏗️

In this walkthrough, Ahmed Azraq shows how to build an MCP server with Bob, from designing to implementation.

🎥:  https://t.co/cQN9fN7frD https://t.co/KCtYfT9ZvH",https://x.com/ibm/status/2064360140728418784,4,5,38,2,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2064291421809467641,Tue Jun 09 10:20:02 +0000 2026,"112 years in France and still calculating what’s next⚡

@IBM is bringing AI, Sovereign Core, IBM Bob, Quantum, and immersive experiences to life with a few surprises up its sleeve...

Don't miss out! Quantum leap into the future at #VivaTech 2026👀 https://t.co/9ategF9EfE",https://x.com/ibm/status/2064291421809467641,5,5,15,1,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2063984396231725475,Mon Jun 08 14:00:01 +0000 2026,More terms coming next week! See you then!,https://x.com/ibm/status/2063984396231725475,3,5,16,0,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2063984393467658282,Mon Jun 08 14:00:01 +0000 2026,"Welcome back to Tech Term of the Week! 🥳

This week's term → sovereign cloud - /ˈsɑː.vɚ.ɪn klaʊd/

Definition → a cloud computing approach that helps organizations comply with the privacy laws of specific regions and countries where they gather, process and store customer data.

Why it matters → as cloud and AI expand globally, organizations need secure, compliant infrastructure. Sovereign cloud helps protect sensitive data, meet privacy regulations, build trust, and enable innovation.",https://x.com/ibm/status/2063984393467658282,21,18,81,3,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2062576661183213628,Thu Jun 04 16:46:11 +0000 2026,RT @CRN: Google Cloud launched a new practice that combines its Gemini Enterprise AI Agent technologies with @IBM’s Consulting Advantage pl…,https://x.com/ibm/status/2062576661183213628,0,8,0,0,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2062560274591179121,Thu Jun 04 15:41:04 +0000 2026,"Google Cloud launched a new practice that combines its Gemini Enterprise AI Agent technologies with @IBM’s Consulting Advantage platform to help customers quickly scale AI into production and enable joint clients to deploy AI agents on @googlecloud.

@gcloudpartners @IBMPartners

https://t.co/LDcyC7pVeJ",https://x.com/ibm/status/2062560274591179121,8,8,28,0,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
66,IBM,@ibm,2062525658920538259,Thu Jun 04 13:23:31 +0000 2026,"@ufc The answer from Alon Cohen, EVP of Innovation for TKO: ""Land significant strikes to the head."" 👊 

Watch him explain the data behind that answer on the latest episode of Smart Talks with IBM ↓ 

https://t.co/iCUXcRfDaz https://t.co/pHURGE8bwc",https://x.com/ibm/status/2062525658920538259,3,4,16,1,true,false,,2026-06-12T16:59:56.532901+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/066_ibm/accounts/01_primary_ibm,@ibm,https://x.com/ibm,primary,1
