fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder,source_x_handle,source_x_url,account_role,account_index
69,Nationwide,@nationwide,2061864011755380796,Tue Jun 02 17:34:22 +0000 2026,"RT @columbusnwsl: What should Columbus NWSL 2028 be named? Make your voice heard!

Fill out our fan feedback survey for your chance to infl…",https://x.com/nationwide/status/2061864011755380796,0,6,0,0,false,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2061530824852275416,Mon Jun 01 19:30:24 +0000 2026,"What should Columbus NWSL 2028 be named? Make your voice heard!

Fill out our fan feedback survey for your chance to influence the club's future and be entered to win a Columbus NWSL 2028 merch pack: https://t.co/30hOzisVGO https://t.co/m7gsHLuway",https://x.com/nationwide/status/2061530824852275416,6,6,22,2,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2049160509233000595,Tue Apr 28 16:15:11 +0000 2026,"RT @NWSL: Introducing the 2026 nominees for the Lauren Holiday Impact Award, presented by @Nationwide! 🫶

This award celebrates NWSL player…",https://x.com/nationwide/status/2049160509233000595,0,28,0,0,false,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2049157503771095097,Tue Apr 28 16:03:15 +0000 2026,"Introducing the 2026 nominees for the Lauren Holiday Impact Award, presented by @Nationwide! 🫶

This award celebrates NWSL players for their commitment to service, community, and giving back. #NWSLImpact https://t.co/bISBAGk6ar",https://x.com/nationwide/status/2049157503771095097,3,28,120,3,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2047367399234568489,Thu Apr 23 17:30:00 +0000 2026,"""You can’t be great without the greatness of others."" - Saquon knows getting to the NFL is not a solo journey. Behind every draft hopeful is a strong support system offering guidance, honest feedback, and encouragement. Good luck to all in this year's @NFL Draft. https://t.co/zEP2SvMylF",https://x.com/nationwide/status/2047367399234568489,2,0,5,1,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2046943044163747945,Wed Apr 22 13:23:46 +0000 2026,"The skyline says it all: Welcome to Columbus, @NWSL. 

Proud to help bring top-tier women’s soccer to Columbus and to support the growth of the
game. 

Check out @columbusnwsl for updates! https://t.co/Xv0Yjb8PUy",https://x.com/nationwide/status/2046943044163747945,2,3,38,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2046683954002952512,Tue Apr 21 20:14:14 +0000 2026,"RT @columbusnwsl: One Team – For All of Ohio

The support from our fans and our community is what makes soccer in this city special. Thank…",https://x.com/nationwide/status/2046683954002952512,0,29,0,0,false,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2046680601915261204,Tue Apr 21 20:00:55 +0000 2026,History in the making in Columbus. Congratulations on winning the bid for a new @NWSL expansion team! What a huge win for our community and the future of women’s sports. https://t.co/40KSlIeSt7,https://x.com/nationwide/status/2046680601915261204,1,4,24,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2046678019910107325,Tue Apr 21 19:50:40 +0000 2026,"One Team – For All of Ohio

The support from our fans and our community is what makes soccer in this city special. Thank you for your passion and dedication. Together, we are Columbus NWSL 2028 🤍

📰: https://t.co/dKhcWHeuBy https://t.co/PL4ZB9baDD",https://x.com/nationwide/status/2046678019910107325,6,29,121,6,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2044128558348382281,Tue Apr 14 19:00:01 +0000 2026,"100 years on your side, celebrated with incredible partners and champions. #Nationwide100 #OnYourSide https://t.co/qVEe6k0zkv",https://x.com/nationwide/status/2044128558348382281,1,6,53,2,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2044035596658577603,Tue Apr 14 12:50:37 +0000 2026,"For a century, we’ve helped protect what matters most. Today, we carry that legacy forward as we invest in the future.",https://x.com/nationwide/status/2044035596658577603,1,1,1,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2044015346445672875,Tue Apr 14 11:30:09 +0000 2026,"From helping farmers to UFO protection, Nationwide celebrates 100 years https://t.co/uF5bRAfc1Y",https://x.com/nationwide/status/2044015346445672875,0,0,0,2,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2039040014814720057,Tue Mar 31 17:59:57 +0000 2026,"RT @BlueJacketsNHL: Happy 100th @Nationwide! 🎉

Grateful and proud to have you on our side!",https://x.com/nationwide/status/2039040014814720057,0,7,0,0,false,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2039039246737068383,Tue Mar 31 17:56:54 +0000 2026,"RT @ColumbusCrew: @Nationwide Congrats on 100 years, Nationwide! Proud to call you our partner, thank you for everything you do for us and…",https://x.com/nationwide/status/2039039246737068383,0,5,0,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2039014403010371951,Tue Mar 31 16:18:11 +0000 2026,"Happy 100th @Nationwide! 🎉

Grateful and proud to have you on our side!",https://x.com/nationwide/status/2039014403010371951,3,7,67,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2038987477344497945,Tue Mar 31 14:31:11 +0000 2026,"@Nationwide Congrats on 100 years, Nationwide! Proud to call you our partner, thank you for everything you do for us and for our city 🤩",https://x.com/nationwide/status/2038987477344497945,2,5,16,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2038980125425799532,Tue Mar 31 14:01:58 +0000 2026,"A century of protection, partnership and progress. Thank you to our associates, partners and customers for helping shape our story. 

#Nationwide100 #OnYourSide https://t.co/7yYEBw7omU",https://x.com/nationwide/status/2038980125425799532,10,11,88,3,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2036541429409857999,Tue Mar 24 20:31:28 +0000 2026,"50 years in and Peyton’s still so much more than a QB — he’s the undisputed Hall of Famer of quarter zips, chicken parm and perfectly timed audibles. And today, he’s Celebratin’ Manning. Happy 50th Peyton! https://t.co/jYnkglwlUr",https://x.com/nationwide/status/2036541429409857999,3,1,6,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2033529625494593788,Mon Mar 16 13:03:38 +0000 2026,"A new @NWSL season brings new moments to cheer for and we’re here for it! 
You don’t want to miss this. ⚽ https://t.co/jB3j7l4Pkk",https://x.com/nationwide/status/2033529625494593788,1,0,4,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2028505082350776556,Mon Mar 02 16:17:54 +0000 2026,"A partnership that is so much more than a jersey. Let's go, @ColumbusCrew! https://t.co/n7lEnhk04k",https://x.com/nationwide/status/2028505082350776556,3,3,27,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2023752664043966719,Tue Feb 17 13:33:29 +0000 2026,"Congratulations, Sean! We are proud to count you as a Nationwide player ambassador. 💙",https://x.com/nationwide/status/2023752664043966719,2,5,33,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2023544176965533948,Mon Feb 16 23:45:02 +0000 2026,"Ohioan. Homegrown. Captain 🫡

Sean Zawadzki is a leader who embodies the ethos of our Club 🖤💛 https://t.co/1vt1g547eF",https://x.com/nationwide/status/2023544176965533948,8,70,483,12,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2021265638665113735,Tue Feb 10 16:50:56 +0000 2026,"RT @ColumbusCrew: Wholeheartedly Committed to Crafting Excellence 🤝

This kit further strengthens our identity through simplicity, clarity…",https://x.com/nationwide/status/2021265638665113735,0,15,0,0,false,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2021262948858024302,Tue Feb 10 16:40:14 +0000 2026,"Wholeheartedly Committed to Crafting Excellence 🤝

This kit further strengthens our identity through simplicity, clarity and purpose as we push forward and evolve while staying true to the Black &amp; Gold’s ethos.

📰: https://t.co/cAu0pixcHY

#Crew96 ✘ @Nationwide https://t.co/v1k16xCYoo",https://x.com/nationwide/status/2021262948858024302,4,15,92,2,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2021233591158542790,Tue Feb 10 14:43:35 +0000 2026,"We are proud to honor the @NFL players whose greatest victories happen far beyond the game. They uplift communities, inspire change, and remind us that even when they are off the field, they are on a mission. https://t.co/chBwn4fL5s",https://x.com/nationwide/status/2021233591158542790,5,4,56,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2020862096242593961,Mon Feb 09 14:07:24 +0000 2026,"What was the best moment from the Walter Payton @NFL Man of the Year Community Day? There were too many good ones, so here’s our top 5. https://t.co/e75piYoN1o",https://x.com/nationwide/status/2020862096242593961,2,6,109,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2020659257402630175,Mon Feb 09 00:41:23 +0000 2026,"We love your passion for the game and the community, @Bwagz!",https://x.com/nationwide/status/2020659257402630175,0,1,6,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2020631440829075937,Sun Feb 08 22:50:51 +0000 2026,Walter Payton Man of the Year Award winner @Bwagz is recognized in Santa Clara ahead of Super Bowl LX #WPMOY @Nationwide https://t.co/VZL2UYQp5T,https://x.com/nationwide/status/2020631440829075937,57,244,2389,30,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2020150560595349833,Sat Feb 07 15:00:00 +0000 2026,"Off the field, on a mission: @demario__davis gives everything on the field - but his compassion off the field is what transforms communities. https://t.co/T7RW6mgHgf",https://x.com/nationwide/status/2020150560595349833,1,6,151,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2020120361564574025,Sat Feb 07 13:00:00 +0000 2026,"Off the field, on a mission: Find out how Dion Dawkins (@DDawkins66) is making an impact in his community. https://t.co/nv2dGbVrsY",https://x.com/nationwide/status/2020120361564574025,9,8,156,2,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2019854291293351994,Fri Feb 06 19:22:44 +0000 2026,"Congratulations to Bobby Wagner (@bwagz), the 2025 Walter Payton @NFL Man of the Year! We are honored celebrate your remarkable dedication to giving back. https://t.co/Vdqcw8JGW3",https://x.com/nationwide/status/2019854291293351994,19,64,1300,2,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2019826322684428764,Fri Feb 06 17:31:36 +0000 2026,"Off the field, on a mission: While Bobby Wagner (@Bwagz) can impact any play, it’s nothing compared to the impact he makes on his community. Nationwide and the @NFL are proud to recognize players like him who do so much more. https://t.co/cShLmVHFk3",https://x.com/nationwide/status/2019826322684428764,8,24,286,2,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2019626620684800348,Fri Feb 06 04:18:03 +0000 2026,"RT @paytonsun: Welcome to the family, @Bwagz. 🙏🏽❤️
#Wpmoy @Nationwide https://t.co/pigvNq1nnw",https://x.com/nationwide/status/2019626620684800348,0,10,0,0,false,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2019623189081477337,Fri Feb 06 04:04:25 +0000 2026,"A massive shoutout to Bobby Wagner! Your commitment to giving back and making a difference is what the game is all about. Thank you for inspiring fans everywhere, on and off the field. An incredible honor for an incredible leader.",https://x.com/nationwide/status/2019623189081477337,0,0,9,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2019621753342030313,Fri Feb 06 03:58:43 +0000 2026,"Welcome to the family, @Bwagz. 🙏🏽❤️
#Wpmoy @Nationwide https://t.co/pigvNq1nnw",https://x.com/nationwide/status/2019621753342030313,2,10,216,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2019620203056042412,Fri Feb 06 03:52:33 +0000 2026,.@Bwagz is the Walter Payton NFL Man of the Year presented by @Nationwide! #WPMOY https://t.co/zopBwm2cKn,https://x.com/nationwide/status/2019620203056042412,156,832,5962,219,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2019506728803401920,Thu Feb 05 20:21:39 +0000 2026,RT @ColumbusCrew: Another Massive moment for soccer in our city and country 👏 https://t.co/nIN0UaB2c5,https://x.com/nationwide/status/2019506728803401920,0,15,0,0,false,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2019506669622050860,Thu Feb 05 20:21:25 +0000 2026,"RT @ColumbusCrew: An Absolute Honor 🙌

Columbus is one of seven cities that will host matches for the LA28 Olympic Football (Soccer) Tourna…",https://x.com/nationwide/status/2019506669622050860,0,109,0,0,false,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2019163549143040414,Wed Feb 04 21:37:59 +0000 2026,This is what makes the Walter Payton NFL Man of the Year award so special.,https://x.com/nationwide/status/2019163549143040414,0,0,1,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2019101144346415171,Wed Feb 04 17:30:00 +0000 2026,"What does it mean to be a Walter Payton NFL Man of the Year?

The 32 club winners for the 2025 #WPMOY Award talked with the Commissioner, the Payton family and @Nationwide about the impact and legacy of this honor. https://t.co/ROFMgadUQC",https://x.com/nationwide/status/2019101144346415171,44,33,248,6,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
69,Nationwide,@nationwide,2018678455013933388,Tue Feb 03 13:30:23 +0000 2026,Another Massive moment for soccer in our city and country 👏 https://t.co/nIN0UaB2c5,https://x.com/nationwide/status/2018678455013933388,1,15,114,0,true,false,,2026-06-13T06:00:40.651670+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/069_nationwide/accounts/01_primary_nationwide,@nationwide,https://x.com/nationwide,primary,1
