fortune_rank,company_name,official_x_handle,source_x_handle,source_x_url,account_role,account_index,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683871425806110723,Tue Jul 25 16:06:47 +0000 2023,"If you are a highly motivated achiever with a passion for success, we invite you to learn more about Enterprise Products. Apply today! https://t.co/ThFqtO9Tiu",https://x.com/EProd_Careers/status/1683871425806110723,0,0,5,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683860219410124803,Tue Jul 25 15:22:15 +0000 2023,"Enterprise Products is the name to know in energy…and we want to know more about what would make you a great Engineer, Senior Control. Apply today! https://t.co/PxgCPaJWfD",https://x.com/EProd_Careers/status/1683860219410124803,1,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683858377842245632,Tue Jul 25 15:14:56 +0000 2023,Tap into the professional possibilities at Enterprise Products. This Inland Tankerman – Pay Range: $310 - $350 (Depending Upon Experience) opportunity will help you realize your full potential. https://t.co/EtD3HMcXba #MarineServices,https://x.com/EProd_Careers/status/1683858377842245632,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683855521701568512,Tue Jul 25 15:03:35 +0000 2023,Enterprise Products is an organization rich in energy-related opportunities. Could this one be right for you? Click here to find out. https://t.co/ZbRGuth4c8 #PipelineTech,https://x.com/EProd_Careers/status/1683855521701568512,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683851094982803457,Tue Jul 25 14:46:00 +0000 2023,"If you are a highly motivated achiever with a passion for success, we invite you to learn more about Enterprise Products. Apply today! https://t.co/ab5TLwiQq5",https://x.com/EProd_Careers/status/1683851094982803457,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683846957188681728,Tue Jul 25 14:29:33 +0000 2023,"Think you would excel as our next Specialist, Senior Regional PSM (Atlanta, GA)? Consider Enterprise Products as YOUR pipeline for career success! Apply today. https://t.co/wEwRFYKw3Q #EnvironmentalJobs",https://x.com/EProd_Careers/status/1683846957188681728,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683844681082482689,Tue Jul 25 14:20:30 +0000 2023,"We want to find the right people to drive our success at Enterprise Products. Could that be you? Click here to learn more about joining our team in Midland, TX. https://t.co/nlgMAvkaXg #OperationsJobs",https://x.com/EProd_Careers/status/1683844681082482689,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683840897740574721,Tue Jul 25 14:05:28 +0000 2023,"If you’re ready to start a new career in Houma, LA, the Enterprise Products team awaits you. Click here to learn more about this fantastic opportunity. https://t.co/ynCmQkBDI6 #Wheelman",https://x.com/EProd_Careers/status/1683840897740574721,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683834722810724353,Tue Jul 25 13:40:56 +0000 2023,Discover exciting and rewarding ways to apply your talents at Enterprise Products. Click here to find out more! https://t.co/DD7I4hFETZ #TechnicianJobs,https://x.com/EProd_Careers/status/1683834722810724353,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683832394523226118,Tue Jul 25 13:31:41 +0000 2023,"Tap into the professional possibilities at Enterprise Products. This Engineer, Leak Detection opportunity will help you realize your full potential. https://t.co/vgHD3phEI6",https://x.com/EProd_Careers/status/1683832394523226118,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683824480861429760,Tue Jul 25 13:00:14 +0000 2023,"We want to find the right people to drive our success at Enterprise Products. Could that be you? Click here to learn more about joining our team in Houston, TX. https://t.co/PxoOlsm9i7 #AccountantJobs",https://x.com/EProd_Careers/status/1683824480861429760,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683822759456169984,Tue Jul 25 12:53:24 +0000 2023,"If you’re ready to start a new career in Midland, TX, the Enterprise Products team awaits you. Click here to learn more about this fantastic opportunity. https://t.co/t4sCC8i3Y5 #TechnicianJobs",https://x.com/EProd_Careers/status/1683822759456169984,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683811810582069248,Tue Jul 25 12:09:54 +0000 2023,Make the most of your talents in a fast-paced environment driven by people who strive for achievement. Join us at Enterprise Products. Apply now! https://t.co/nKza3su5rU #EnvironmentalJobs,https://x.com/EProd_Careers/status/1683811810582069248,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683811357475610626,Tue Jul 25 12:08:05 +0000 2023,"If you are a highly motivated achiever with a passion for success, we invite you to learn more about Enterprise Products. Apply today! https://t.co/PdmuL3PcWd #MarineServices",https://x.com/EProd_Careers/status/1683811357475610626,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683810168696610818,Tue Jul 25 12:03:22 +0000 2023,"Tap into the professional possibilities at Enterprise Products. This Technician, I &amp; E Trainee (Midland, TX) opportunity will help you realize your full potential. https://t.co/GSuzmiEUAR #TechnicianJobs",https://x.com/EProd_Careers/status/1683810168696610818,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683801355520208897,Tue Jul 25 11:28:21 +0000 2023,"If you’re ready to start a new career in Farmington, NM, the Enterprise Products team awaits you. Click here to learn more about this fantastic opportunity. https://t.co/SDssLW4ldJ #TechnicianJobs",https://x.com/EProd_Careers/status/1683801355520208897,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683664701891444737,Tue Jul 25 02:25:20 +0000 2023,"Think you would excel as our next Controller, Liquid Pipeline (9420 W. Sam Houston Pkwy)? Consider Enterprise Products as YOUR pipeline for career success! Apply today. https://t.co/U7JvPdBa3f #OperationsJobs",https://x.com/EProd_Careers/status/1683664701891444737,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683653267010760705,Tue Jul 25 01:39:54 +0000 2023,Enterprise Products is an organization rich in energy-related opportunities. Could this one be right for you? Click here to find out. https://t.co/PgWuGq1MeC #TechnicianJobs,https://x.com/EProd_Careers/status/1683653267010760705,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
89,Enterprise Products Partners,@EProd_Careers,@EProd_Careers,,primary,1,1683642570046578688,Tue Jul 25 00:57:23 +0000 2023,"We want to find the right people to drive our success at Enterprise Products. Could that be you? Click here to learn more about joining our team in Houma, LA. https://t.co/M7XIJxsksA #MarineServices",https://x.com/EProd_Careers/status/1683642570046578688,0,0,0,0,true,false,,2026-06-12T14:40:41.575409+00:00,browser-based scroll-exhaustion collection of observable public posts,30,089_enterprise_products_partners
