fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder,source_x_handle,source_x_url,account_role,account_index
98,Coca-Cola,@cocacola,1701596697217101934,Tue Sep 12 14:00:41 +0000 2023,"The first ever Coke co-created by AI is here. Taste the bright, fruity taste of Coca-Cola Y3000 🫧 #CocaColaCreations https://t.co/B3taG09ut2",https://x.com/cocacola/status/1701596697217101934,4356,819,2936,1397,true,false,,2026-06-12T17:17:16.761734+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/098_coca_cola/accounts/01_primary_cocacola,@cocacola,https://x.com/cocacola,primary,1
98,Coca-Cola,@cocacola,1700201396568482227,Fri Sep 08 17:36:15 +0000 2023,Congrats @oliviarodrigo! Love the curls 😌,https://x.com/cocacola/status/1700201396568482227,804,276,1263,31,true,false,,2026-06-12T17:17:16.761734+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/098_coca_cola/accounts/01_primary_cocacola,@cocacola,https://x.com/cocacola,primary,1
98,Coca-Cola,@cocacola,1690781318215340032,Sun Aug 13 17:44:14 +0000 2023,Check out the link below to see the full Masterpiece collection,https://x.com/cocacola/status/1690781318215340032,675,405,1468,61,true,false,,2026-06-12T17:17:16.761734+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/098_coca_cola/accounts/01_primary_cocacola,@cocacola,https://x.com/cocacola,primary,1
98,Coca-Cola,@cocacola,1690763490674503680,Sun Aug 13 16:33:23 +0000 2023,"ᴏɴᴄʜᴀɪɴ 🟡 ꜱᴜᴍᴍᴇʀ

@CocaCola is bringing their Global Masterpiece campaign onchain with iconic works from leading artists.

Mint now: https://t.co/xTWyI3O7IW https://t.co/9wxFgt8qOh",https://x.com/cocacola/status/1690763490674503680,231,297,1047,85,true,false,,2026-06-12T17:17:16.761734+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/098_coca_cola/accounts/01_primary_cocacola,@cocacola,https://x.com/cocacola,primary,1
98,Coca-Cola,@cocacola,1687991931299676160,Sun Aug 06 01:00:12 +0000 2023,Why we’re here: to cheer Team USA until we lose our voice. ❤️⚽️#BelievingIsMagic https://t.co/t4UKvcPTyT,https://x.com/cocacola/status/1687991931299676160,438,277,971,12,true,false,,2026-06-12T17:17:16.761734+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/098_coca_cola/accounts/01_primary_cocacola,@cocacola,https://x.com/cocacola,primary,1
98,Coca-Cola,@cocacola,1687598335157280768,Fri Aug 04 22:56:11 +0000 2023,"✅ Number one album
✅Crushed Lolla
✅ Release an absolute bop with J.I.D https://t.co/QRTzAwugfe

We have to stan.",https://x.com/cocacola/status/1687598335157280768,154,209,766,8,true,false,,2026-06-12T17:17:16.761734+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/098_coca_cola/accounts/01_primary_cocacola,@cocacola,https://x.com/cocacola,primary,1
98,Coca-Cola,@cocacola,1684247278775574529,Wed Jul 26 17:00:17 +0000 2023,Can you hear us from our living room? ✨📣 #AlwaysPossible #BelievingIsMagic https://t.co/T9xvAfcyqq,https://x.com/cocacola/status/1684247278775574529,413,267,1509,37,true,false,,2026-06-12T17:17:16.761734+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/098_coca_cola/accounts/01_primary_cocacola,@cocacola,https://x.com/cocacola,primary,1
98,Coca-Cola,@cocacola,1682541031001055232,Sat Jul 22 00:00:16 +0000 2023,Is it too early to be on the edge of our seat? 👀 Good luck USA! ✨📣 #BelievingIsMagic #AlwaysPossible https://t.co/hVswRkH6na,https://x.com/cocacola/status/1682541031001055232,274,293,1779,19,true,false,,2026-06-12T17:17:16.761734+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/098_coca_cola/accounts/01_primary_cocacola,@cocacola,https://x.com/cocacola,primary,1
98,Coca-Cola,@cocacola,1675884604551491586,Mon Jul 03 15:10:00 +0000 2023,We'll go first ☀️🧊🥤🍔🌭 🌭🍽️,https://x.com/cocacola/status/1675884604551491586,69,162,483,4,true,false,,2026-06-12T17:17:16.761734+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/098_coca_cola/accounts/01_primary_cocacola,@cocacola,https://x.com/cocacola,primary,1
98,Coca-Cola,@cocacola,1675884603049951233,Mon Jul 03 15:10:00 +0000 2023,Describe your summer grilling plans with emojis 👇,https://x.com/cocacola/status/1675884603049951233,169,157,647,8,true,false,,2026-06-12T17:17:16.761734+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/098_coca_cola/accounts/01_primary_cocacola,@cocacola,https://x.com/cocacola,primary,1
